Time,Duration
23942,3327
12097,411
12838,266
14414,460
14874,844
4963,254
16810,199
17009,372
17381,951
18332,2611
20943,2487
23430,399
23829,506
24335,1140
25475,790
646,545
1644,3151
4795,13
4808,405
5213,847
6060,1690
7750,102
7852,1407
9259,611
9870,6368
16238,3187
19425,1500
20925,4059
24984,3189
17128,2233
19361,8591
10512,4608
20663,142
20805,2921
23726,1579
10638,430
11068,8460
19528,256
19784,103
19887,846
20733,2761
17685,7515
3268,265
3533,2503
6036,9069
15105,2200
17305,460
17765,1226
18991,255
19246,6255
25501,334
25835,2410
28245,2493
14373,1096
15469,5293
20762,1490
22252,414
22666,463
4201,429
24065,373
24712,447
25159,161
25406,325
20625,531
21156,790
21946,377
3739,1096
4835,1415
6250,998
7248,809
4534,759
5293,768
6061,545
6606,668
7274,368
7642,400
8042,485
8527,594
10074,924
506,3372
3878,1349
5227,809
6036,1691
7727,7983
15710,2434
17302,6177
22300,708
5729,307
6036,475
6511,1244
7755,1095
8850,4497
13347,4737
18084,1218
19302,5898
10050,1261
11311,24
11335,1090
12425,2975
15400,2375
17775,54
17829,1307
19136,2438
21574,197
21771,967
22738,224
23089,375
3195,1865
5060,976
6036,1715
7751,8614
16365,1362
17727,1441
19168,5849
25017,3123
28140,787
28927,139
29066,1896
23772,245
24017,504
24521,2063
1191,287
14161,723
14884,439
15323,922
16245,13426
29671,618
15988,231
13865,8974
1633,313
1946,250
2196,347
2543,368
2911,1491
4402,132
506,249
755,506
1261,4590
5851,185
6036,1831
7867,412
8279,2354
10633,526
11159,69
11228,6464
17692,2881
20573,327
20900,1018
12844,2113
14957,38
14995,1274
16269,937
17206,203
17409,3009
20418,3061
23479,1596
25075,3157
28232,2264
30496,167
30663,1131
18760,4079
506,487
993,2309
3302,2734
6036,1942
9303,93
9396,150
9546,142
9688,744
10432,2504
12936,4910
17846,4141
506,2040
2546,3514
6060,1695
7755,1766
9521,588
10109,286
10395,1685
12080,436
12516,6
12522,23
12545,3323
15868,197
16065,97
16162,1550
17712,1456
19168,407
19575,1552
21127,809
21936,2899
13096,1324
506,85
591,2179
2770,129
2899,2650
5549,487
6036,1134
7170,710
7880,1422
12060,55
13104,76
4710,421
5131,1149
6280,293
6573,721
7294,763
8126,1119
24227,1275
25502,2833
28335,1857
30192,188
15120,1182
16302,1473
17775,1450
19225,4575
23800,427
21646,966
9819,1176
10995,1283
12278,1480
13758,4484
18242,2262
20504,0
20504,1523
22027,21
8258,1100
9358,2380
11738,176
11914,12221
1478,155
29346,1324
30670,193
30863,125
30988,58
29898,949
30847,0
30847,36
22857,98
22955,1926
24881,917
25798,1299
27097,695
27792,424
28216,378
28594,1354
24842,480
29447,422
29869,211
30080,732
23742,1336
25322,1741
27063,429
30059,160
30219,580
30799,137
4908,1153
6061,1294
7355,35
7390,379
7769,853
8622,1234
9856,3043
12899,3393
16292,1340
17632,2145
19777,3491
23268,1750
25018,2200
27218,2609
22434,316
22750,122
22872,2032
24904,619
25523,1925
27448,321
27769,617
28386,315
28701,921
29622,1512
14391,104
14495,1016
18049,219
13053,806
13859,321
12655,2587
15242,732
12082,1321
13403,3375
16778,1966
18744,451
19195,558
19589,621
20210,146
20356,1247
21603,1114
23270,844
24114,1253
25367,491
25858,598
26456,314
26770,281
27051,1953
12844,584
13428,1966
15394,3100
18494,1531
20025,733
20758,4836
25594,1387
26981,107
27088,1541
12745,93
18587,668
10502,1384
11886,2739
14625,1210
15835,2765
18600,4731
23331,394
23725,1652
25377,490
25867,644
15728,263
15991,6410
22401,1919
24320,270
20690,1316
22006,134
14587,287
14874,8572
23446,614
12703,1198
15842,327
19753,1507
21260,2324
23584,1175
24759,743
25502,833
26335,4108
20594,7065
27659,838
28497,1451
15015,343
15358,671
16029,51
20953,231
21184,418
21602,9135
2385,382
2767,2066
4833,161
4994,1286
6280,398
6678,1118
7796,693
8489,1673
10162,756
10918,2360
13278,2439
15717,433
16150,1488
17638,970
18608,673
19281,45
19326,87
14401,430
14831,644
506,2257
2780,3261
6041,1493
7534,9171
16705,1600
18305,1872
20177,2124
22301,2968
25269,3233
20225,886
21111,62
21173,740
11327,175
11502,28
20585,68
12208,524
12732,372
13104,1090
14194,814
15008,43
15051,523
15574,72
15646,888
16534,3022
24477,2236
26713,1093
2576,335
2911,585
3496,935
4431,936
5367,693
6060,1918
8821,2261
11376,557
11933,1163
13096,4082
17178,4755
21933,883
17178,899
15788,2039
17827,4723
506,1750
2256,245
2501,3647
6148,57
6205,1473
7678,974
8652,496
14316,2016
16332,86
16948,779
17727,79
10359,79
10438,1432
11870,141
12011,2213
14224,5223
19447,2911
22358,786
23144,3141
26285,1862
28147,1284
29431,255
18649,2015
14224,362
15053,1192
16245,4814
13215,195
13410,353
13763,405
16632,259
16891,282
17173,976
18149,1269
19418,653
20573,1434
22007,361
15596,761
16357,1310
17667,3391
21058,4201
12615,88
15539,126
19888,2480
16880,292
11997,3804
16569,1
23073,357
23430,2534
25964,697
26661,1715
28376,2802
10635,697
11332,2544
13876,424
14300,651
14951,706
15657,3654
19311,1139
20450,938
21408,332
21740,1195
22935,415
23350,5103
28453,1661
19556,697
20253,806
21629,101
21730,1431
23161,1743
24904,401
20119,1397
12069,5026
9828,168
10022,326
9996,26
10348,1092
11440,157
11597,1247
12844,469
13313,933
14246,13
14259,2033
16292,523
16815,972
17787,64
17851,1518
19369,3585
22954,2546
25500,5729
15801,769
15024,5480
20504,1878
506,217
19888,378
20266,37
15168,127
15295,720
19782,1238
21020,1592
10663,259
10922,47
10969,260
11251,649
11900,111
12011,827
12838,2231
15069,1734
16803,3110
19913,3801
23714,2026
25740,246
25986,881
26867,1289
22101,199
22300,3278
25578,5890
9574,282
9856,278
5314,72
9304,1824
11128,498
11626,251
11877,1100
13144,1844
14988,4347
19335,5079
24414,5079
9659,357
17806,238
18044,620
18664,38
18702,662
19364,683
20047,3774
23821,1501
25322,1552
26874,2175
19526,153
19679,1837
21516,3253
24769,6045
3232,4807
9086,37
9123,451
16121,296
16417,519
16936,837
17985,2266
20251,517
20768,148
20916,493
21409,3360
24769,3702
5707,329
6036,1649
7685,944
8629,617
9246,749
9995,253
11557,985
12542,4128
16670,384
17054,3153
20207,3272
23479,1512
24991,1414
26405,352
26757,1567
9546,1169
10715,375
11090,1350
12440,1050
13490,217
13707,232
13939,377
15168,10074
25242,2617
27859,715
28574,1370
29944,1100
20897,774
21671,226
18077,753
18830,833
19663,1448
21111,850
21961,544
22505,4829
27334,3465
17204,93
17297,1197
18494,3094
21588,2905
24493,772
25265,3084
28349,92
17095,3866
20961,830
12830,226
20915,3805
24720,2137
1769,2163
3932,1130
5062,998
6060,68
6128,1665
7793,360
8153,336
8489,88
8577,73
8650,723
9373,831
17346,912
22631,884
23515,193
23708,1042
24750,1328
26078,1061
15842,687
18258,87
18345,59
18628,566
19194,82
19276,78
19354,1814
21168,1322
22625,631
23256,738
23994,955
24949,663
25612,341
25953,3403
29356,217
29573,551
30124,199
30323,339
12745,94
17345,1680
12431,77
17073,749
22790,3949
26739,1054
27793,738
28531,1879
30410,509
23908,576
23883,25
12476,935
13411,848
14259,646
14905,52
14957,256
15213,1657
16870,874
17744,119
17863,1438
19301,1191
20492,2229
22721,199
22920,920
23840,1375
25215,2247
27462,754
28216,707
28923,476
29399,1903
12690,476
22661,376
23037,958
12508,195
12703,309
13012,940
13952,1358
15310,1159
16469,499
16968,1476
18444,1997
20441,1512
21953,3385
25338,2807
19710,151
19861,392
20253,2846
23995,218
24213,1658
25871,434
26305,3283
22226,405
9654,5824
5238,822
6060,245
6305,149
6454,780
7234,542
7776,99
7875,273
8148,1534
9682,307
9989,132
10121,73
10194,522
10716,1310
12026,7
12033,1063
13096,916
14012,906
14918,1350
16268,491
16759,2365
19124,3136
22260,2991
25251,3228
28479,1484
15734,5057
20791,1582
22373,9011
17470,214
17684,452
18136,429
18565,355
18920,1101
20021,1100
21121,5011
26132,246
26378,753
27131,604
27735,527
28262,537
28799,662
29461,1922
31383,4
21524,1214
22738,1000
23738,201
23939,606
22865,1243
24108,6967
18965,4303
23268,1133
5662,606
6268,929
7197,180
7377,601
14321,203
18480,1483
19963,4806
12297,364
12661,584
13245,291
13536,1678
15214,1321
16535,1945
22711,189
22900,1633
24533,1358
25891,2189
28080,210
28290,2000
30290,463
18012,1485
19497,1993
21490,4011
25501,2112
14049,6177
20226,244
20470,475
20945,5328
26273,1131
27404,464
27868,119
27987,788
29827,464
18814,4134
22948,578
23526,679
15246,105
15351,280
15631,3183
5537,743
6280,119
9228,2805
12033,546
12579,1085
13664,385
18565,82
20601,227
17235,860
18095,854
18949,1031
5630,32
24769,385
5581,4555
10136,670
12493,380
12873,1002
15478,370
15848,687
16535,2834
19369,2003
21372,1337
22709,46
22755,2457
25212,3267
28479,648
29127,80
22900,321
23221,49
23270,935
24205,564
24769,733
25502,874
26376,738
27114,3256
30370,1013
25271,1479
26750,304
8542,829
9371,137
9508,528
5648,2330
20218,906
21124,169
21293,360
23778,1473
25251,3388
16948,225
17173,453
17626,1652
19278,2795
22073,284
22357,406
2668,120
2788,237
3025,359
3384,213
3597,343
3940,219
4159,996
5155,881
6036,82
6118,1130
7248,562
7810,316
8126,373
8499,1285
9784,140
9924,567
10491,896
11387,603
11990,916
12906,1876
14782,1517
16299,1396
17695,1558
19253,3520
22773,3407
26180,1087
27267,1487
18423,549
18972,566
19538,22
19560,1231
20791,207
10254,27
10281,1717
