NewApp,Postmaster General,Last,Office,Month,County,Year,President,Day,First
0,26,Glenn,TUCKER,2,Anderson,1890,15,14,Henry
0,26,Peebles,TUCKER,3,Anderson,1892,15,10,Thos. H.
0,26,Keller,TUCKER,9,Anderson,1895,16,6,John P. C.
3,28,McClanahan,TUCKER,4,Anderson,1900,17,21,Florence M.
2,15,Barry,WILD CAT BLUFF,1,Anderson,1870,9,12,Geo.
3,28,[Re-established] Moseley,ANGELINA,4,Angelina,1898,17,29,Malcolm J.
0,28,Roberts,ANGELINA,5,Angelina,1899,17,9,Edgar A.
0,28,Kilgore,ANGELINA,5,Angelina,1899,17,27,Homer
0,28,Baker,ANGELINA,4,Angelina,1900,17,20,Henry
0,28,Foster,ANGELINA,1,Angelina,1901,17,7,Leonidas B.
1,26,Townsend,BAKER,7,Angelina,1889,15,20,Martin W.
2,26,Fenley,BAKER,10,Angelina,1894,16,26,Zack P.
3,26,Townsend,BAKER,8,Angelina,1895,16,19,Martin W.
0,28,Matthews,BAKER,1,Angelina,1901,17,31,John S.
0,28,Cates,BAKER,5,Angelina,1901,18,10,Jos. D.
1,17,Ballentine,BONNER'S MILL,6,Angelina,1876,10,13,Chas. A.
0,19,Bonner,BONNER'S MILL,7,Angelina,1877,11,2,W. H.
1,21,Futch,BRADLEY,8,Angelina,1881,12,29,J. M.
1,23,Medford,BREAKER,9,Angelina,1884,13,23,Geo. A.
1,25,Stovall,BURKE,3,Angelina,1886,14,20,David M.
0,25,Roberts,BURKE,5,Angelina,1887,14,23,Dixie
0,26,Treadwell,BURKE,3,Angelina,1888,14,7,Stephen J.
0,27,Mantooth,BURKE,9,Angelina,1897,17,11,Wm. B.
0,15,Hillenkamp,CHEESELAND,6,Angelina,1873,10,11,Wenzel
0,25,To WELLS,CHEESELAND,3,Angelina,1886,14,29,Cherokee Co.
1,26,Vinson,CLAWSON,3,Angelina,1891,15,26,Wm. McD.
0,26,Mantooth,CLAWSON,9,Angelina,1892,15,8,Thos. C.
0,26,Means,CLAWSON,7,Angelina,1895,16,31,John C.
0,28,Smith Jr.,CLAWSON,9,Angelina,1898,17,9,Horace
0,28,Caruthers,CLAWSON,4,Angelina,1900,17,3,Robt. A.
1,27,Rutland,DIBOLL,5,Angelina,1897,17,25,Wm. P.
0,28,Walker,DIBOLL,4,Angelina,1901,18,25,Watson
1,28,Dunkin,DUNKIN,2,Angelina,1901,17,14,Harrison A.
1,26,West,DURST,12,Angelina,1893,16,30,John E.
0,26,Medlin,DURST,5,Angelina,1895,16,11,Halbert
0,26,Broughton,DURST,3,Angelina,1896,16,3,Sargent P.
0,26,Nelms,DURST,1,Angelina,1897,16,18,Willie A.
0,27,Moseley,DURST,7,Angelina,1897,17,26,Malcolm J.
1,26,Carter,EMPORIA,7,Angelina,1893,16,10,Jos. C.
1,25,Cansler,EUDORA,10,Angelina,1885,14,6,Mrs. Sarah C.
0,26,Guinn,EUDORA,7,Angelina,1888,14,2,Mary C.
0,27,Cansler,EUDORA,10,Angelina,1897,17,14,Chas. E.
0,28,Weaver,EUDORA,9,Angelina,1898,17,29,T. H.
2,28,Warren,EUDORA,5,Angelina,1899,17,18,Willie O.
3,28,Robinson,EUDORA,9,Angelina,1901,19,28,John F.
1,26,Oates,HAMLET,6,Angelina,1894,16,11,Martha A.
0,28,Oates,HAMLET,3,Angelina,1900,17,6,John W.
0,14,Shannon,HOMER,12,Angelina,1868,8,3,Miss Mary A.
0,15,Branton,HOMER,7,Angelina,1871,9,21,Arnold
0,15,Collins,HOMER,6,Angelina,1874,10,1,Geo. J.
0,20,Ricks,HOMER,12,Angelina,1880,11,20,Casper A.
0,22,Matthews,HOMER,3,Angelina,1882,13,30,Henry J.
0,26,Brown,HOMER,10,Angelina,1889,15,10,Mrs. Caledonia
0,26,Borden,HOMER,10,Angelina,1891,15,29,Benj. W.
0,26,Collins,HOMER,2,Angelina,1892,15,4,Geo. M.
0,26,Collins,HOMER,8,Angelina,1892,15,11,Geo. J.
0,26,Robb,HOMER,4,Angelina,1893,16,28,Ed. L.
0,27,Thompson,HOMER,9,Angelina,1897,17,22,John N.
1,28,Chapman,HUNTINGTON,7,Angelina,1900,17,23,Robt. D.
1,25,Kennedy,IVY,5,Angelina,1886,14,29,Idella J.
0,25,Haley,IVY,1,Angelina,1887,14,3,Sophie
0,25,Scarbrough,IVY,1,Angelina,1888,14,3,Wm. B.
0,26,Hilliard,IVY,11,Angelina,1896,16,16,Wm. W.
0,27,Cowart,IVY,3,Angelina,1898,17,15,Sebron J.
1,23,Davis,JAKE,3,Angelina,1884,13,19,Jacob
0,25,Chambers,JAKE,11,Angelina,1885,14,3,Miss Lizzie E.
1,26,Kurth,KELTY'S,5,Angelina,1890,15,26,Jos. H.
0,26,West,KELTY'S,11,Angelina,1891,15,25,John E.
0,26,Weiner Jr.,KELTY'S,2,Angelina,1892,15,4,Sam.
0,27,Kurth,KELTY'S,9,Angelina,1897,17,27,Jos. H.
1,28,Lay,LAY,10,Angelina,1898,17,1,Wm. C.
0,28,DuBose,LAY,3,Angelina,1899,17,10,Jas. P.
2,28,Travis,LAY,2,Angelina,1901,17,13,Henry
0,28,Outlaw,LAY,10,Angelina,1901,19,5,Wm. M.
1,22,Abney,LUFKIN,4,Angelina,1882,13,12,Wm. A.
0,22,Kerr,LUFKIN,3,Angelina,1883,13,21,Jos.
0,26,Gann,LUFKIN,2,Angelina,1890,15,7,Nathan W.
0,26,McPherson,LUFKIN,8,Angelina,1893,16,2,Benj. L.
0,27,Vinson,LUFKIN,7,Angelina,1897,17,23,Winfield L.
0,28,Shotwell,LUFKIN,1,Angelina,1900,17,23,Joshua W.
2,15,Berry,MARION,10,Angelina,1869,9,4,Wm. P.
1,22,Seale,MIAMI,5,Angelina,1882,13,12,Albert B.
0,22,Ross,MIAMI,9,Angelina,1882,13,18,Mrs. Lulu C.
1,29,Wigley,MONTEREY,5,Angelina,1902,19,28,Alfred J.
1,15,Mott,MOTT,8,Angelina,1871,9,7,Thos. L.
0,17,Dixon,MOTT,5,Angelina,1876,10,15,Robt. G.
0,18,Mott,MOTT,10,Angelina,1876,10,3,Thos. L.
2,25,Hensarling,MOTT,9,Angelina,1885,14,28,Jesse C.
0,26,Dudley,MOTT,2,Angelina,1897,16,8,Jas. E.
0,28,Parker,MOTT,8,Angelina,1901,18,24,Thos. J.
-1,28,Kirkland,ODELL,1,Angelina,1900,17,23,Jas. H.
1,24,Medford,ORA,11,Angelina,1884,13,11,Geo. A.
