Dif,Ratio
881,1.3333333333333333
881,2.0
-912,5.0
623,2.0
-927,3.0
-147,2.0
-702,2.5
-604,1.5
881,1.3333333333333333
-912,3.0
-147,1.0
-147,5.0
623,1.5
-604,0.75
-604,4.0
-927,1.5
-912,7.0
-927,2.5
881,1.0
-912,2.0
-702,1.3333333333333333
-927,3.0
197,1.3333333333333333
197,2.5
197,1.5
-259,2.0
-259,0.6666666666666666
197,0.5
-259,2.0
-259,2.0
-411,1.5
-411,2.0
705,1.5
705,1.0
852,1.5
-846,2.0
-123,0.6666666666666666
-123,1.2
-411,2.3333333333333335
-1193,3.0
-860,0.25
852,2.0
-846,2.5
-19,0.5
-19,2.0
-123,0.5
-123,2.0
-860,2.5
852,3.5
-846,2.0
-860,0.6666666666666666
-411,2.0
-1193,1.3333333333333333
852,0.3333333333333333
-1193,0.6666666666666666
705,4.0
705,0.3333333333333333
-860,3.0
4008,1.5
-4220,5.0
-4220,0.875
-3344,4.5
-1912,0.8333333333333334
-3098,4.0
4201,3.0
-5090,2.3333333333333335
-5090,4.0
-5090,3.3333333333333335
4008,2.0
-4220,7.0
-4220,8.0
-3344,3.5
-3098,4.0
-3344,3.6666666666666665
-1912,1.5
-3098,3.0
4008,2.25
4008,2.0
-3098,3.5
-1912,1.3333333333333333
-5090,1.25
4201,1.3333333333333333
4201,2.0
-491,5.0
4201,1.6666666666666667
-3344,7.0
-491,2.3333333333333335
-491,2.5
-1912,2.0
-491,0.5
133,3.0
-188,0.6666666666666666
133,2.0
-140,1.5
-188,3.0
133,0.3333333333333333
-188,0.3333333333333333
-140,2.0
-188,2.0
23,1.5
296,5.0
-225,2.0
201,2.0
447,1.3333333333333333
-225,3.0
447,2.0
-638,2.0
-225,0.6
-225,2.5
23,1.5
-343,2.0
201,1.3333333333333333
-638,4.0
201,0.25
447,2.0
-638,4.0
639,4.0
-343,2.0
296,1.0
447,0.6666666666666666
23,2.0
23,1.0
296,1.0
639,4.0
-638,3.0
201,0.5
639,1.0
-343,2.0
90,0.5
77,2.0
-257,3.0
381,0.6666666666666666
829,2.0
-183,3.0
77,0.3333333333333333
-63,3.0
-63,2.0
829,1.5
-194,0.5
-194,1.0
90,0.5
-257,0.5
-257,2.0
-257,3.0
829,4.0
-63,3.0
381,2.0
77,1.0
381,0.5
-1626,3.3333333333333335
-1626,2.0
-236,0.2
-1181,1.0
1736,0.5
1736,3.0
1736,1.0
-1280,2.5
1432,3.6666666666666665
-1203,4.0
-1626,2.75
-263,2.0
-263,2.0
-1280,3.0
-1280,2.75
1432,5.0
-1181,2.6666666666666665
-1203,4.0
1432,2.5
-1203,7.0
-1280,3.5
-1181,0.5
1736,2.0
-1626,1.0
-236,1.0
-236,2.0
1432,1.0
-236,0.5
-263,0.5
-132,1.0
204,3.0
204,3.0
123,2.0
-23,3.0
-23,2.0
-131,1.0
-131,1.0
-131,0.5
-147,2.0
-147,2.0
123,2.0
204,0.5
3138,4.0
3138,3.5
3138,1.8
-2758,1.0
2416,4.0
2416,4.0
-2677,4.5
-2677,9.0
-2688,10.0
-2758,3.5
2416,2.0
-2677,2.0
-2688,13.0
-2688,7.0
-1432,0.5
-1432,1.5
3138,3.0
-2758,7.0
-2922,1.5
-2758,1.2
2416,2.5
-2688,3.0
-2922,2.3333333333333335
-1432,1.0
-355,0.3333333333333333
-355,3.0
-355,2.0
-355,0.6666666666666666
-2677,4.0
-2922,1.0
-2922,3.0
1722,5.0
-1742,2.0
-1657,3.5
1722,2.0
-1657,1.3333333333333333
-1742,1.6
2337,2.4
1722,5.0
-1742,9.0
-1657,1.6
-538,1.0
-1053,3.0
-1664,4.0
-1664,4.0
2337,0.75
2337,2.6666666666666665
-1699,7.0
1722,2.5
-1657,4.0
-1742,10.0
-538,0.75
-1053,2.5
-538,0.5
-1053,1.3333333333333333
-1664,5.0
-1664,1.0
-538,3.0
-1053,1.5
-1699,7.0
-1699,2.3333333333333335
2337,0.25
-1699,2.0
69,1.0
-99,3.0
-128,1.0
69,1.3333333333333333
69,3.0
69,3.0
-99,0.5
-128,0.5
55,1.5
