County,ChangeNum,Est,EstNum,Year
Bell,0,,3,1925
Bell,0,,1,1850
Bell,0,,4,1875
Bell,0,,1,1922
Bell,0,,2,1920
Bexar,0,-,281,-
Bexar,0,,5,1896
Bexar,0,,5,1911
Bexar,0,,2,1913
Bexar,0,,2,1917
Bexar,0,,2,1928
Bexar,0,,2,1929
Bexar,0,,2,1872
Bexar,0,,5,1889
Bexar,0,,2,1892
Bexar,0,,6,1914
Bexar,0,,3,1873
Bexar,0,,3,1874
Bexar,0,,5,1887
Bexar,0,,3,1888
Bexar,0,,3,0
Bexar,0,,7,1884
Bexar,0,,3,1885
Bexar,0,,7,1900
Bexar,0,,6,1904
Bexar,0,,3,1905
Bexar,0,,5,1882
Bexar,0,,2,1868
Bexar,0,,6,1859
Bexar,0,,6,1860
Bexar,0,,1,1867
Bexar,0,,4,1901
Bexar,0,,2,1909
Bexar,0,,4,1847
Bexar,0,,1,1849
Bexar,0,,5,1852
Bexar,0,,10,1854
Bexar,0,,7,1855
Bexar,0,,2,1878
Bexar,0,,9,1881
Bexar,0,,3,1890
Bexar,0,,4,1895
Bexar,0,,2,1907
Bexar,0,,2,1871
Bexar,0,,6,1894
Bexar,0,,6,1886
Bexar,0,,1,1903
Bexar,0,,2,1875
Bexar,0,,6,1857
Bexar,0,,3,1866
Bexar,0,,1,1853
Bexar,0,,4,1856
Bexar,0,,8,1858
Bexar,0,,5,1915
Bexar,0,,2,1850
Bexar,0,,6,1879
Bexar,0,,5,1880
Bexar,0,,5,1861
Bexar,0,,6,1893
Bexar,0,,7,1898
Bexar,0,,4,1899
Bexar,0,,2,1902
Bexar,0,,3,1919
Bexar,0,,2,1923
Bexar,0,,1,1908
Bexar,0,,2,1876
Bexar,0,,1,1869
Bexar,0,,4,1877
Bexar,0,,1,1862
Bexar,0,,4,1897
Bexar,0,,4,1891
Bexar,0,,2,1912
Bexar,0,,2,1924
Bexar,0,,3,1925
Bexar,0,,3,1926
Bexar,0,,4,1883
Bexar,0,,1,1916
Bexar,0,,1,1846
Bexar,0,,1,1848
Bexar,0,,1,1865
Bexar,0,,2,1906
Bexar,0,,2,1921
Bexar,0,,1,1922
Bexar,0,,2,1910
Bexar,0,,1,1920
Bexar,0,,2,1918
Bexar,0,,1,1851
