County,Num,Year
Bandera,1,1898
Bandera,2,1900
Bandera,3,1904
Bandera,2,1911
Bandera,3,1915
Bandera,3,1917
Bandera,2,1918
Bandera,2,1887
Bandera,3,1895
Bandera,3,1901
Bandera,1,1873
Bandera,1,1877
Bandera,2,1885
Bandera,5,1888
Bandera,3,1909
Bandera,1,1905
Bandera,1,1910
Bandera,2,1903
Bandera,1,1912
Bandera,1,1928
Bandera,1,1902
Bandera,1,1929
Bastrop,289,-
Bastrop,3,1851
Bastrop,4,1852
Bastrop,3,1858
Bastrop,1,1862
Bastrop,1,1863
Bastrop,4,1866
Bastrop,6,1868
Bastrop,4,1872
Bastrop,5,1874
Bastrop,5,1881
Bastrop,3,1888
Bastrop,7,1889
Bastrop,7,1893
Bastrop,3,1895
Bastrop,4,1897
Bastrop,6,1884
Bastrop,2,1885
Bastrop,3,1846
Bastrop,7,1861
Bastrop,1,1865
Bastrop,5,1890
Bastrop,9,1900
Bastrop,4,1906
Bastrop,5,1914
Bastrop,3,1923
Bastrop,9,1902
Bastrop,8,1876
Bastrop,4,1901
Bastrop,2,1878
Bastrop,4,1879
Bastrop,6,1880
Bastrop,4,1883
Bastrop,9,1886
Bastrop,5,1887
Bastrop,5,1912
Bastrop,4,1918
Bastrop,2,1921
Bastrop,1,1854
Bastrop,1,1857
Bastrop,2,1859
Bastrop,3,1869
Bastrop,7,1877
Bastrop,5,1892
Bastrop,4,1905
Bastrop,3,1907
Bastrop,8,1891
Bastrop,4,1873
Bastrop,1,0
Bastrop,9,1898
Bastrop,4,1908
Bastrop,3,1916
Bastrop,6,1922
Bastrop,2,1925
Bastrop,2,1926
Bastrop,4,1896
Bastrop,3,1882
Bastrop,5,1894
Bastrop,6,1899
Bastrop,3,1909
Bastrop,2,1917
Bastrop,3,1903
Bastrop,5,1904
Bastrop,2,1913
Bastrop,5,1871
Bastrop,1,1930
Bastrop,4,1875
Bastrop,2,1915
Bastrop,3,1870
Bastrop,1,1911
Bastrop,1,1910
Bastrop,1,1924
Bastrop,1,1853
Bastrop,1,1860
Bastrop,1,1919
Bastrop,1,1849
Bastrop,1,1855
Bastrop,1,1867
Baylor,83,-
Baylor,2,1892
Baylor,2,1906
Baylor,2,1909
Baylor,1,1912
Baylor,2,1916
Baylor,1,1919
Baylor,1,1888
Baylor,1,1894
Baylor,2,1895
Baylor,1,1896
Baylor,4,1897
Baylor,1,1902
Baylor,2,1908
Baylor,5,1910
Baylor,1,1913
Baylor,2,1915
Baylor,3,1925
Baylor,1,1927
Baylor,3,1928
Baylor,6,1879
Baylor,3,1891
Baylor,4,1907
Baylor,1,1918
Baylor,1,1921
Baylor,1,1923
Baylor,1,1929
Baylor,1,0
Baylor,2,1881
Baylor,1,1884
Baylor,2,1885
Baylor,2,1886
Baylor,2,1893
Baylor,1,1901
Baylor,2,1914
Baylor,1,1920
Baylor,2,1922
Baylor,1,1924
Baylor,1,1880
Baylor,1,1883
Baylor,1,1890
Baylor,2,1900
Baylor,2,1905
Baylor,1,1898
Baylor,1,1899
Baylor,1,1911
Baylor,1,1917
Baylor,1,1926
Bee,143,-
Bee,2,1871
Bee,1,1859
Bee,1,0
Bee,1,1861
Bee,4,1862
Bee,2,1864
Bee,2,1866
Bee,1,1867
Bee,4,1872
Bee,1,1874
Bee,3,1877
Bee,2,1880
Bee,2,1883
Bee,1,1885
Bee,1,1889
Bee,3,1890
Bee,1,1897
Bee,1,1905
Bee,5,1914
Bee,4,1922
Bee,3,1927
Bee,2,1888
Bee,3,1901
Bee,1,1906
Bee,4,1930
Bee,2,1892
Bee,1,1893
Bee,3,1894
Bee,3,1895
Bee,4,1896
Bee,2,1899
Bee,2,1902
Bee,2,1916
Bee,2,1917
Bee,3,1919
Bee,3,1920
Bee,1,1923
Bee,1,1925
Bee,3,1903
Bee,9,1907
Bee,2,1909
Bee,1,1910
Bee,5,1912
Bee,4,1911
Bee,3,1908
Bee,4,1860
Bee,1,1865
Bee,1,1884
Bee,1,1878
Bee,3,1879
Bee,1,1881
Bee,2,1882
Bee,2,1886
Bee,1,1915
Bee,3,1921
Bee,2,1898
Bee,1,1900
Bee,1,1926
Bee,3,1887
Bee,1,1870
Bee,2,1924
Bee,1,1928
Bee,1,1931
Bee,1,1918
Bell,383,-
Bell,2,1868
Bell,7,1870
Bell,7,1871
Bell,1,1860
Bell,9,1900
Bell,5,1902
Bell,5,1903
Bell,10,1894
Bell,2,1910
Bell,6,1914
Bell,3,1923
Bell,8,1891
Bell,8,1892
Bell,15,1893
Bell,15,1897
Bell,2,1905
Bell,4,1906
Bell,6,1852
Bell,1,1853
Bell,4,1854
Bell,2,1855
Bell,1,1856
Bell,1,1859
Bell,4,1861
Bell,1,1864
Bell,3,1866
Bell,2,1867
Bell,5,1872
Bell,9,1873
Bell,7,1876
Bell,4,1877
Bell,5,1880
Bell,6,1885
Bell,15,1889
Bell,3,1907
Bell,4,1916
Bell,1,1919
Bell,10,1895
Bell,10,1896
Bell,10,1898
Bell,4,1901
Bell,3,1904
Bell,5,1912
Bell,3,1913
Bell,8,1899
Bell,3,1884
Bell,9,1874
Bell,5,1878
Bell,9,1886
Bell,9,1888
Bell,9,1890
Bell,5,0
Bell,2,1869
Bell,9,1881
Bell,9,1882
Bell,13,1883
Bell,3,1909
Bell,5,1911
Bell,3,1930
Bell,1,1931
Bell,4,1879
Bell,3,1887
Bell,5,1917
Bell,7,1921
Bell,1,1862
Bell,3,1857
Bell,1,1858
Bell,1,1915
Bell,4,1908
Bell,3,1918
Bell,3,1925
Bell,1,1850
Bell,4,1875
Bell,1,1922
Bell,2,1920
Bexar,281,-
Bexar,5,1896
Bexar,5,1911
Bexar,2,1913
Bexar,2,1917
Bexar,2,1928
Bexar,2,1929
Bexar,2,1872
Bexar,5,1889
Bexar,2,1892
Bexar,6,1914
Bexar,3,1873
Bexar,3,1874
Bexar,5,1887
Bexar,3,1888
Bexar,3,0
Bexar,7,1884
Bexar,3,1885
Bexar,7,1900
Bexar,6,1904
Bexar,3,1905
Bexar,5,1882
Bexar,2,1868
Bexar,6,1859
Bexar,6,1860
Bexar,1,1867
Bexar,4,1901
Bexar,2,1909
Bexar,4,1847
Bexar,1,1849
Bexar,5,1852
Bexar,10,1854
Bexar,7,1855
Bexar,2,1878
Bexar,9,1881
Bexar,3,1890
