"","Last","First","Office","County","Year","Month","Day","CleanedFirst","Gender","RefineGender"
"169","Sumatte","Wm. M.","MITTO","Anderson",1861,"7","12","Wm",NA,"male"
"170","Rose","Anna K.","MIZPAH","Anderson",1901,"8","6","Anna","female","female"
"171","Gray","Henry S.","MIZPAH","Anderson",1903,"12","28","Henry","male","male"
"172","Gaught","Louise A.","MONINGTON","Anderson",1918,"8","30","Louise","female","female"
"173","Johnson","Houston D.","MONINGTON","Anderson",1921,"5","5","Houston","male","male"
"174","Hester","Geo. G.","MONINGTON","Anderson",1923,"4","19","Geo","male","male"
"175","Hamlett Jr.","Wm. J.","MONTALBA","Anderson",1882,"3","20","Wm",NA,"male"
"176","Hamlett","Mrs. Mary E.","MONTALBA","Anderson",1883,"1","10","Mary","female","female"
"177","Ferguson","John F.","MONTALBA","Anderson",1907,"1","4","John","male","male"
"178","Hendrix","John G.","MONTALBA","Anderson",1908,"3","3","John","male","male"
"179","Harris","Nora","MONTALBA","Anderson",1920,"7","15","Nora","female","female"
"180","Hendrix","John G.","MONTALBA","Anderson",1920,"12","9","John","male","male"
"181","Harris","Wm. I.","MONTALBA","Anderson",1923,"8","22","Wm",NA,"male"
"182","Sutherlin","Lona R.","MONTALBA","Anderson",1924,"4","18","Lona","female","female"
"183","Auld","Evelyn","MONTALBA","Anderson",1931,"11","5","Evelyn","female","female"
"184","Dunn","Thos. R.","NECHES","Anderson",1892,"5","17","Thos",NA,"male"
"185","Caroll","Frank O.","NECHES","Anderson",1905,"5","11","Frank","male","male"
"186","Maraman","Edna P.","NECHES","Anderson",1910,"3","3","Edna","female","female"
"187","Mahaffey","Abner D.","NECHES","Anderson",1910,"12","12","Abner","male","male"
"188","Brown","John F.","NECHES","Anderson",1914,"8","14","John","male","male"
"189","Daly","Ernest L.","NECHES","Anderson",1916,"9","30","Ernest","male","male"
"190","Spalding","Louis E.","NECHES","Anderson",1920,"3","11","Louis","male","male"
"191","Howe","Ed. S.","NECHES","Anderson",1922,"8","4","Ed","male","male"
"192","Capps","John Q. A.","NECHESVILLE","Anderson",1872,"12","23","John","male","male"
"193","Dunn","Thos. R.","NECHESVILLE","Anderson",1876,"1","7","Thos",NA,"male"
"194","Shelton","Chas.","PALESTINE","Anderson",1847,"3","8","Chas",NA,"male"
"195","McLure","Alex.","PALESTINE","Anderson",1848,"8","3","Alex","male","male"
"196","Formwalt","John A.","PALESTINE","Anderson",1853,"7","16","John","male","male"
"197","Wortham","Thos. J. C.","PALESTINE","Anderson",1854,"2","28","Thos",NA,"male"
