"","Last","First","Office","County","Year","Month","Day","CleanedFirst","Gender","RefineGender"
"16558","Shepherd","Josiah L.","ELYSIAN FIELDS","Harrison",1860,"7","5","Josiah","male","male"
"16559","Shepherd","J. L.","ELYSIAN FIELDS","Harrison",1861,"7","12","J","male","male"
"16560","Hendricks","S. B.","ELYSIAN FIELDS","Harrison",1862,"2","21","S","male","male"
"16561","Smith","Edward","ELYSIAN FIELDS","Harrison",1864,"11","1","Edward","male","male"
"16562","Steele","Thos.","ELYSIAN FIELDS","Harrison",1871,"11","16","Thos",NA,"male"
"16563","Furrh","Jas. M.","ELYSIAN FIELDS","Harrison",1885,"4","29","Jas",NA,"male"
"16564","Furrah","John D.","ELYSIAN FIELDS","Harrison",1915,"1","29","John","male","male"
"16565","Craven","Jas. P.","EQUALITY","Harrison",1891,"9","9","Jas",NA,"male"
"16566","Massey","John S.","EQUALITY","Harrison",1895,"7","9","John","male","male"
"16567","Baldwin","Benj. H.","FERNS","Harrison",1888,"9","4","Benj","male","male"
"16568","Miller","John M.","FONTANA","Harrison",1891,"4","28","John","male","male"
"16569","Dickard","Chas. B.","FREEDOM","Harrison",1855,"2","23","Chas",NA,"male"
"16570","Lagrone","Geo. W.","FREEDOM","Harrison",1858,"7","30","Geo","male","male"
"16571","Lagrone","Geo. W.","FREEDOM","Harrison",1861,"8","6","Geo","male","male"
"16572","Davenport","J. W.","FRIENDSHIP","Harrison",1851,"12","26","J","male","male"
"16573","Taylor","Robt. P.","FRIENDSHIP","Harrison",1852,"3","31","Robt","male","male"
"16574","Taylor","R. P.","FRIENDSHIP","Harrison",1861,"7","12","R","male","male"
"16575","Tincher","Henry","FRIENDSHIP","Harrison",1865,"3","11","Henry","male","male"
"16576","Smith","Miss Sarah L.","FRIENDSHIP","Harrison",1867,"2","20","Sarah","female","female"
"16577","Howard","Abner","FRIENDSHIP","Harrison",1872,"9","2","Abner","male","male"
"16578","LaGrone","Geo. W.","FRIENDSHIP","Harrison",1875,"10","7","Geo","male","male"
"16579","LaGrone","Walter S.","FRIENDSHIP","Harrison",1895,"6","20","Walter","male","male"
"16580","Clark","Geo. W.","FRIENDSHIP","Harrison",1902,"6","11","Geo","male","male"
"16581","Roberts","John G.","GALATEA","Harrison",1852,"7","28","John","male","male"
"16582","Roberts","Mrs. John G.","GALATEA","Harrison",1861,"8","6","John","male","female"
"16583","Stephens","Miles H.","GILL","Harrison",1894,"4","14","Miles","male","male"
"16584","Johnson","Wm. E.","GILL","Harrison",1902,"10","21","Wm",NA,"male"
"16585","Sherrod","John L.","GLADE SPRING","Harrison",1847,"10","14","John","male","male"
"16586","Alcocke","John W.","GLADE SPRING","Harrison",1858,"2","22","John","male","male"
"16587","Hailey","Dora Mai","HAILEY","Harrison",1900,"10","30","Dora","female","female"
"16588","Hailey","Robt. T.","HAILEY","Harrison",1902,"7","31","Robt","male","male"
"16589","Ferrell","Wilford","HALLSVILLE","Harrison",1869,"11","29","Wilford","male","male"
"16590","Bennett","Jas.","HALLSVILLE","Harrison",1870,"5","27","Jas",NA,"male"
"16591","Harrison","Mitchell A.","HALLSVILLE","Harrison",1870,"10","19","Mitchell","male","male"
"16592","McKay","M. M.","HALLSVILLE","Harrison",1871,"1","23","M","female","female"
"16593","Lynch","Jas. P.","HALLSVILLE","Harrison",1874,"1","27","Jas",NA,"male"
"16594","Buchanan","Thos. S.","HALLSVILLE","Harrison",1874,"6","1","Thos",NA,"male"
"16595","*Etheridge","Benj. E.","HALLSVILLE","Harrison",1889,"8","28","Benj","male","male"
"16596","Jose","Essie H.","HALLSVILLE","Harrison",1895,"2","13","Essie","female","female"
"16597","Lynch","Jas. P.","HALLSVILLE","Harrison",1910,"8","19","Jas",NA,"male"
"16598","Koon","Ira S.","HALLSVILLE","Harrison",1915,"1","23","Ira","male","male"
"16599","Hallsville","Tex.","HALLSVILLE","Harrison",0,"0","June 24. -- Major B. E. Etheridge","Tex",NA,"male"
"16600","Hallsville","Tex.","HALLSVILLE","Harrison",0,"0","June 24. -- Major B. E. Etheridge","Tex",NA,"male"
"16601","Miller","John M.","HARLETON","Harrison",1892,"11","17","John","male","male"
"16602","Webb Jr.","David C.","HARLETON","Harrison",1897,"10","26","David","male","male"
"16603","Peal","Willard N.","HARLETON","Harrison",1903,"6","25","Willard","male","male"
"16604","Oney","Harmon A.","HARLETON","Harrison",1908,"12","26","Harmon","male","male"
"16605","Craver","Wm. F.","HARLETON","Harrison",1910,"6","4","Wm",NA,"male"
"16606","Massey","Arthur J.","HARLETON","Harrison",1913,"12","13","Arthur","male","male"
"16607","Jones","Jesse A.","HARLETON","Harrison",1922,"2","14","Jesse","male","male"
"16608","White","Pearl","HARLETON","Harrison",1922,"6","23","Pearl","female","female"
"16609","Carroll","Mrs. Pearl","HARLETON","Harrison",1924,"12","28","Pearl","female","female"
"16610","White","Annie Ella","HARLETON","Harrison",1925,"3","3","Annie","female","female"
"16611","Spangler","Jake","HEFLIN","Harrison",1903,"12","7","Jake","male","male"
"16612","Martin","Beman H.","JONESVILLE","Harrison",1849,"11","13","Beman","male","male"
"16613","Motley","Jas. W.","JONESVILLE","Harrison",1854,"3","17","Jas",NA,"male"
"16614","Stone Jr.","Absalom B.","JONESVILLE","Harrison",1856,"5","21","Absalom","male","male"
"16615","Jones","Napoleon","JONESVILLE","Harrison",1857,"3","25","Napoleon","male","male"
"16616","Stone Jr.","Absalom B.","JONESVILLE","Harrison",1858,"8","19","Absalom","male","male"
"16617","Rains","Henry","JONESVILLE","Harrison",1858,"11","5","Henry","male","male"
"16618","Spybey","Henry F.","JONESVILLE","Harrison",1859,"1","8","Henry","male","male"
"16619","Wiler","John","JONESVILLE","Harrison",1860,"5","21","John","male","male"
"16620","Wiler","John","JONESVILLE","Harrison",1861,"7","12","John","male","male"
"16621","Raines","Henry","JONESVILLE","Harrison",1863,"1","28","Henry","male","male"
"16622","Bradfield","J. A.","JONESVILLE","Harrison",1865,"2","25","J","male","male"
"16623","Rice","H. S.","JONESVILLE","Harrison",1867,"5","28","H","male","male"
"16624","Thompson","Melville C.","JONESVILLE","Harrison",1870,"10","14","Melville","male","male"
"16625","Lehman","Sylwain","JONESVILLE","Harrison",1871,"10","20","Sylwain",NA,"male"
"16626","Gillies","Wm. C.","JONESVILLE","Harrison",1873,"12","4","Wm",NA,"male"
"16627","Lowenthal","Paul","JONESVILLE","Harrison",1874,"5","11","Paul","male","male"
"16628","Harris","Wm. R.","JONESVILLE","Harrison",1876,"5","15","Wm",NA,"male"
"16629","Long","Bailey W.","JONESVILLE","Harrison",1879,"9","30","Bailey","male","male"
"16630","Youree","Henry H.","JONESVILLE","Harrison",1880,"12","27","Henry","male","male"
"16631","Downer","W. H.","JONESVILLE","Harrison",1881,"10","20","W","male","male"
"16632","Stuart","Gilmer","JONESVILLE","Harrison",1885,"4","29","Gilmer","male","male"
"16633","Newell","Lake","JONESVILLE","Harrison",1885,"11","3","Lake","male","male"
"16634","Currie","Walter S.","JONESVILLE","Harrison",1888,"9","4","Walter","male","male"
"16635","Lindsey","T. C.","JONESVILLE","Harrison",1902,"2","13","T","male","male"
"16636","Rogers","John W.","JONESVILLE","Harrison",1902,"3","26","John","male","male"
"16637","Downer","Wm. M.","JONESVILLE","Harrison",1912,"12","19","Wm",NA,"male"
"16638","Currie","Walter S.","JONESVILLE","Harrison",1919,"4","24","Walter","male","male"
"16639","Baker","Chas. C.","KARNACK","Harrison",1898,"9","29","Chas",NA,"male"
"16640","Baker","Lizzie","KARNACK","Harrison",1914,"10","5","Lizzie","female","female"
"16641","Winston","John T.","LEIGH","Harrison",1901,"2","2","John","male","male"
"16642","Winston","Wm. H.","LEIGH","Harrison",1910,"6","25","Wm",NA,"male"
"16643","Hooper","Helen M.","LODWICK [1]","Harrison",1885,"7","30","Helen","female","female"
"16644","McLemore","Jas. E.","LOTTA","Harrison",1915,"4","5","Jas",NA,"male"
"16645","Jones","Chas. S.","MACKSVILLE","Harrison",1870,"7","7","Chas",NA,"male"
"16646","Bayless","John H.","MACKSVILLE","Harrison",1886,"6","14","John","male","male"
"16647","Freeman","Ira M.","MARSHALL","Harrison",1846,"5","22","Ira","male","male"
"16648","Askew","Casey","MARSHALL","Harrison",1847,"3","8","Casey","male","male"
"16649","Pierce","Turner G.","MARSHALL","Harrison",1849,"12","26","Turner","male","male"
"16650","Henderson","John","MARSHALL","Harrison",1852,"4","29","John","male","male"
"16651","Harris","Micajah","MARSHALL","Harrison",1852,"10","7","Micajah","male","male"
"16652","Askew","Casey","MARSHALL","Harrison",1853,"1","27","Casey","male","male"
"16653","Barrett","Anthony H.","MARSHALL","Harrison",1853,"9","9","Anthony","male","male"
"16654","Taylor","Ozias J.","MARSHALL","Harrison",1854,"2","7","Ozias","male","male"
"16655","Matt","John P.","MARSHALL","Harrison",1855,"12","11","John","male","male"
"16656","Hyde","Robt. T.","MARSHALL","Harrison",1856,"7","25","Robt","male","male"
"16657","Wiler","John","MARSHALL","Harrison",1857,"3","31","John","male","male"
"16658","Harris","Thad A.","MARSHALL","Harrison",1858,"11","18","Thad","male","male"
"16659","Harris","T. A.","MARSHALL","Harrison",1861,"7","12","T","male","male"
"16660","Thetford","King","MARSHALL","Harrison",1864,"12","6","King","male","male"
"16661","Rawson","Henry","MARSHALL","Harrison",1864,"12","26","Henry","male","male"
"16662","Swan","C. H.","MARSHALL","Harrison",1865,"10","18","C","male","male"
"16663","Rawson","Henry","MARSHALL","Harrison",1865,"12","28","Henry","male","male"
"16664","Flanagin","Jas. W.","MARSHALL","Harrison",1871,"10","31","Jas",NA,"male"
"16665","Umbenstock","Wm.","MARSHALL","Harrison",1872,"3","6","Wm",NA,"male"
"16666","Umbdenstock","Wm.","MARSHALL","Harrison",1872,"5","2","Wm",NA,"male"
"16667","Board","Nicholas V.","MARSHALL","Harrison",1873,"3","10","Nicholas","male","male"
"16668","Welch","Horace","MARSHALL","Harrison",1875,"10","19","Horace","male","male"
"16669","McAdoo","John D.","MARSHALL","Harrison",1876,"2","14","John","male","male"
"16670","Hall","Volney","MARSHALL","Harrison",1878,"6","15","Volney","male","male"
"16671","Williamson","J. B.","MARSHALL","Harrison",1881,"5","21","J","male","male"
"16672","Pierce","W. C.","MARSHALL","Harrison",1881,"10","24","W","male","male"
"16673","Jennings","Robt. L.","MARSHALL","Harrison",1886,"1","13","Robt","male","male"
"16674","Hudson","John H.","MARSHALL","Harrison",1890,"1","9","John","male","male"
"16675","Lancaster","W. E.","MARSHALL","Harrison",1894,"3","9","W","male","male"
"16676","Wilson","Henry O.","MARSHALL","Harrison",1898,"5","24","Henry","male","male"
"16677","Blalock","Horace C.","MARSHALL","Harrison",1915,"1","30","Horace","male","male"
"16678","Wilson","Henry O.","MARSHALL","Harrison",1923,"9","5","Henry","male","male"
"16679","Graves","John","MONTEREY","Harrison",1847,"9","20","John","male","male"
"16680","Dillard","T. J.","MOUNT MOURN","Harrison",1846,"10","1","T","male","male"
"16681","Andrews","Walter R.","NOEL","Harrison",1903,"1","23","Walter","male","male"
"16682","McClung","Jos. J.","OBE","Harrison",1899,"4","8","Jos","male","male"
"16683","Sargent","Harry R.","ORCHARD PARK","Harrison",1906,"1","22","Harry","male","male"
"16684","Sargent","Harry R.","ORCHARD PARK","Harrison",1906,"1","22","Harry","male","male"
"16685","Harper","Ed. L.","ORCHARD PARK","Harrison",1906,"12","21","Ed","male","male"
"16686","Grogan","Wm. R.","PINE RIDGE","Harrison",1901,"5","9","Wm",NA,"male"
"16687","Whitlock","Robt. A.","PINE RIDGE","Harrison",1902,"1","8","Robt","male","male"
"16688","Gray","Geo. W.","PINE RIDGE","Harrison",1904,"6","18","Geo","male","male"
"16689","Mattox","Jas. F.","PINE RIDGE","Harrison",1905,"4","26","Jas",NA,"male"
"16690","Ragow","Jessie L.","PINE RIDGE","Harrison",1905,"7","19","Jessie","female","female"
"16691","Cobbs","Wm. H.","PORT CADDO","Harrison",1846,"5","22","Wm",NA,"male"
"16692","Spell","Marshall","PORT CADDO","Harrison",1848,"5","17","Marshall","male","male"
"16693","Cobbs","Wm. H.","PORT CADDO","Harrison",1849,"4","30","Wm",NA,"male"
"16694","Hagan","Elisha M.","PORT CADDO","Harrison",1850,"8","5","Elisha","male","male"
"16695","McLean","Hugh A.","PORT CADDO","Harrison",1851,"12","1","Hugh","male","male"
"16696","Cobbs","Wm. H.","PORT CADDO","Harrison",1853,"4","14","Wm",NA,"male"
"16697","Watton","Ben. H.","PORT CADDO","Harrison",1853,"8","11","Ben","male","male"
"16698","Farley","Wm. H.","PORT CADDO","Harrison",1855,"1","11","Wm",NA,"male"
"16699","Andrews","Cephus K.","PORT CADDO","Harrison",1858,"9","6","Cephus","male","male"
"16700","Hope","Adam","PORT CADDO","Harrison",1860,"3","23","Adam","male","male"
"16701","Powell","Thos. D.","POWELLTON","Harrison",1850,"5","18","Thos",NA,"male"
"16702","Chatham","Wm. H.","POWELLTON","Harrison",1855,"11","28","Wm",NA,"male"
"16703","Williamson","J. B.","POWELLTON","Harrison",1858,"1","11","J","male","male"
"16704","Bosseau","Wm.","POWELLTON","Harrison",1858,"11","27","Wm",NA,"male"
"16705","Woodson","Chas.","POWELLTON","Harrison",1860,"1","25","Chas",NA,"male"
"16706","Waskom","John M.","POWELLTON","Harrison",1866,"1","23","John","male","male"
"16707","Wheeler","Jas. L.","POWELLTON","Harrison",1866,"4","18","Jas",NA,"male"
"16708","Mason","John","POWELLTON","Harrison",1867,"12","9","John","male","male"
"16709","Sill","Wm.","POWELLTON","Harrison",1868,"7","21","Wm",NA,"male"
"16710","Pugh","F. W.","PUGH'S","Harrison",1847,"3","8","F","male","male"
"16711","McClung","Robt. S.","QUINTAL","Harrison",1886,"1","6","Robt","male","male"
"16712","Muntz","J. M.","QUINTAL","Harrison",1887,"2","11","J","male","male"
"16713","McClung","Robt. S.","QUINTAL","Harrison",1887,"5","11","Robt","male","male"
"16714","Andrews","Walter R.","RAINEY","Harrison",1907,"3","9","Walter","male","male"
"16715","Benefield","Malcohn M.","RAINEY","Harrison",1908,"11","10","Malcohn","male","male"
"16716","Hatley","T. B.","REEL FOOT","Harrison",1847,"3","8","T","male","male"
"16717","Fisher Sr.","Wm.","REEL FOOT","Harrison",1850,"6","25","Wm",NA,"male"
"16718","Rosborough","Eli T.","ROSBOROUGH SPRINGS","Harrison",1886,"3","20","Eli","male","male"
"16719","Newton","Wm. H.","SCHLEY","Harrison",1899,"2","9","Wm",NA,"male"
"16720","Abney","Cary M.","SCOTLAND","Harrison",1890,"9","12","Cary","female","female"
"16721","Mathis","Washington","SCOTTSVILLE","Harrison",1869,"8","4","Washington","male","male"
"16722","Scott","Wm. T.","SCOTTSVILLE","Harrison",1877,"3","9","Wm",NA,"male"
"16723","Scott Sr.","Wm. T.","SCOTTSVILLE","Harrison",1883,"5","29","Wm",NA,"male"
"16724","Sledge","Wm. E.","SCOTTSVILLE","Harrison",1888,"6","26","Wm",NA,"male"
"16725","Scott","Ripley R.","SCOTTSVILLE","Harrison",1888,"10","8","Ripley","male","male"
"16726","Scott","John D.","SCOTTSVILLE","Harrison",1908,"2","25","John","male","male"
"16727","Hope","Oscar C.","SCOTTSVILLE","Harrison",1918,"9","28","Oscar","male","male"
"16728","Nelson","J. Thos.","TALLY","Harrison",1906,"2","23","J","male","male"
"16729","Pugh","F. W.","UNION SPRINGS","Harrison",1847,"6","3","F","male","male"
"16730","Wells","Jas.","UNION SPRINGS","Harrison",1848,"9","7","Jas",NA,"male"
"16731","Maddux","John","UNION SPRINGS","Harrison",1855,"2","23","John","male","male"
"16732","Maddux","John P.","UNION SPRINGS","Harrison",1855,"2","23","John","male","male"
"16733","Jones","Geo. W.","VASHTEL","Harrison",1876,"5","18","Geo","male","male"
"16734","Buchanan","Wm. H.","VASHTEL","Harrison",1876,"11","21","Wm",NA,"male"
"16735","Muntz","Jacob W.","VASHTEL","Harrison",1877,"7","25","Jacob","male","male"
"16736","Covin","Jos. E.","VASHTEL","Harrison",1879,"9","16","Jos","male","male"
"16737","Shackleford","Thos. W.","VASHTEL","Harrison",1880,"3","29","Thos",NA,"male"
"16738","Robinson","Willard L.","VASHTEL","Harrison",1881,"11","22","Willard","male","male"
"16739","Russell","W. J. F.","WASKOM","Harrison",1881,"9","29","W","male","male"
"16740","Furrh","John W.","WASKOM","Harrison",1883,"3","5","John","male","male"
"16741","Morris","David H.","WASKOM","Harrison",1901,"11","19","David","male","male"
"16742","Saye","Fred R.","WASKOM","Harrison",1908,"4","9","Fred","male","male"
"16743","Saye","Vernie","WASKOM","Harrison",1915,"1","29","Vernie","female","female"
"16744","Jones","Vernie","WASKOM","Harrison",1915,"9","11","Vernie","female","female"
"16745","Ditmore","Raymond C.","WASKOM","Harrison",1922,"4","18","Raymond","male","male"
"16746","Saye","Fred R.","WASKOM","Harrison",1923,"10","1","Fred","male","male"
"16747","Whitten","Nellie","WASKOM","Harrison",1925,"3","14","Nellie","female","female"
"16748","Sill","Wm.","WASKOM STATION","Harrison",1872,"3","18","Wm",NA,"male"
"16749","Waskom","Sanctus E.","WASKOM STATION","Harrison",1874,"10","27","Sanctus",NA,"male"
"16750","Thweatt","Algernon S.","WASKOM STATION","Harrison",1880,"3","9","Algernon","male","male"
"16751","Berry","Henry L.","WOODLAWN","Harrison",1874,"2","19","Henry","male","male"
"16752","Finley","R. S.","WOODLAWN","Harrison",1875,"11","1","R","male","male"
"16753","Hanson","David A.","WOODLAWN","Harrison",1877,"6","6","David","male","male"
"16754","Whitesell","N. W.","WOODLAWN","Harrison",1881,"12","13","N","male","male"
"16755","Mills","Jos. H.","WOODLAWN","Harrison",1882,"5","23","Jos","male","male"
"16756","Blalock","Chas. R.","WOODLAWN","Harrison",1884,"9","19","Chas",NA,"male"
"16757","Gorman","Jeremiah W.","WOODLAWN","Harrison",1886,"12","15","Jeremiah","male","male"
"16758","Moss","Fannie","WOODLAWN","Harrison",1897,"8","3","Fannie","female","female"
"16759","McCoy","Neil S.","WOODLAWN","Harrison",1899,"2","24","Neil","male","male"
"16760","Koonce","Thos. W.","WOODLAWN","Harrison",1903,"7","21","Thos",NA,"male"
"16761","Koonce","Thos. W.","WOODLAWN","Harrison",1903,"7","21","Thos",NA,"male"
"16762","Comer","Perry J.","WOODLAWN","Harrison",1913,"9","15","Perry","male","male"
"16763","McCoy","Lizzie","WOODLAWN","Harrison",1917,"1","18","Lizzie","female","female"
"16764","McKinnon","Ed. A.","CHANNING","Hartley",1891,"1","30","Ed","male","male"
"16765","Stillman","Lowe","CHANNING","Hartley",1902,"2","27","Lowe","male","male"
"16766","Farwell","Chas. H.","CHANNING","Hartley",1904,"11","29","Chas",NA,"male"
"16767","Queen","Robt. L.","CHANNING","Hartley",1913,"1","21","Robt","male","male"
"16768","Brown","Lula","CHANNING","Hartley",1918,"9","14","Lula","female","female"
"16769","Thomas","Golden T.","CHANNING","Hartley",1922,"4","10","Golden","female","female"
"16770","Powell","Trevor W.","CHANNING","Hartley",1930,"11","1","Trevor","male","male"
"16771","Latham","W. W.","HARTLEY","Hartley",1888,"4","9","W","male","male"
"16772","Huff","Ed. J.","HARTLEY","Hartley",1888,"10","11","Ed","male","male"
"16773","McDonough","Ed. L.","HARTLEY","Hartley",1888,"12","8","Ed","male","male"
"16774","Conklin","Chas. F.","HARTLEY","Hartley",1889,"11","7","Chas",NA,"male"
"16775","Lusby","Fletcher","HARTLEY","Hartley",1891,"3","11","Fletcher","male","male"
"16776","Baldwin","Gill","HARTLEY","Hartley",1893,"9","9","Gill","male","male"
"16777","Holmes","Jas. H.","HARTLEY","Hartley",1893,"10","14","Jas",NA,"male"
"16778","Scarborough","Wm. H.","HARTLEY","Hartley",1897,"1","5","Wm",NA,"male"
"16779","Scarborough","Edgar L.","HARTLEY","Hartley",1899,"10","4","Edgar","male","male"
"16780","Briggs","Theo.","HARTLEY","Hartley",1899,"12","4","Theo","male","male"
"16781","Scarborough","Edgar L.","HARTLEY","Hartley",1900,"6","23","Edgar","male","male"
"16782","Denton","Thos. C.","HARTLEY","Hartley",1901,"6","15","Thos",NA,"male"
"16783","Seybold","Laura H.","HARTLEY","Hartley",1901,"11","9","Laura","female","female"
"16784","Lasater","John L.","HARTLEY","Hartley",1902,"10","14","John","male","male"
"16785","Tebbs","Chas. S.","HARTLEY","Hartley",1903,"2","14","Chas",NA,"male"
"16786","Dunn","Thos. C.","HARTLEY","Hartley",1904,"10","22","Thos",NA,"male"
"16787","Neely","Frank E.","HARTLEY","Hartley",1913,"7","3","Frank","male","male"
"16788","Thompson","Alvin C.","HARTLEY","Hartley",1911,"12","18","Alvin","male","male"
"16789","Jameson","Chas. J.","HARTLEY","Hartley",1916,"4","4","Chas",NA,"male"
"16790","Thompson","Alvin C.","HARTLEY","Hartley",1916,"5","19","Alvin","male","male"
"16791","Glass","Henry I.","HARTLEY","Hartley",1916,"8","21","Henry","male","male"
"16792","Williams","Nora E.","HARTLEY","Hartley",1918,"3","19","Nora","female","female"
"16793","Williams","Nancy E.","HARTLEY","Hartley",1920,"3","16","Nancy","female","female"
"16794","McKinney","Lillie S.","HARTLEY","Hartley",1920,"9","21","Lillie","female","female"
"16795","Ponce","Roland","HARTLEY","Hartley",1925,"11","21","Roland","male","male"
"16796","Jones","Mrs. Iva I.","HARTLEY","Hartley",1926,"9","17","Iva","female","female"
"16797","Dyer","Edith","MIDDLEWATER","Hartley",1902,"7","10","Edith","female","female"
"16798","Moore","W. H.","MIDDLEWATER","Hartley",0,"0","(date not given) (Declined)","W",NA,"male"
"16799","Noel","John F.","MIDDLEWATER","Hartley",1903,"6","4","John","male","male"
"16800","Smith","Jas. J.","MIDDLEWATER","Hartley",1905,"8","5","Jas",NA,"male"
"16801","Noel","Julia E.","MIDDLEWATER","Hartley",1906,"1","16","Julia","female","female"
"16802","Noel","John F.","MIDDLEWATER","Hartley",1907,"4","5","John","male","male"
"16803","Johnston","Elmer E.","MIDDLEWATER","Hartley",1907,"7","30","Elmer","male","male"
"16804","Lowry","Jas. S.","MIDDLEWATER","Hartley",1908,"10","22","Jas",NA,"male"
"16805","Powell","Caleb E.","MIDDLEWATER","Hartley",1910,"7","29","Caleb","male","male"
"16806","Todd","Elihu","MIDDLEWATER","Hartley",1912,"2","1","Elihu","male","male"
"16807","Todd","Everett L.","MIDDLEWATER","Hartley",1912,"10","26","Everett","male","male"
"16808","Love","Maggie","MIDDLEWATER","Hartley",1913,"6","20","Maggie","female","female"
"16809","Garnett","Murray","MIDDLE WATER","Hartley",1922,"7","1","Murray","male","male"
"16810","Spurlock","Byrd G.","MIDDLE WATER","Hartley",1924,"4","2","Byrd","male","male"
"16811","Wertz","Chas. LeRoy","MIDDLE WATER","Hartley",1925,"1","24","Chas",NA,"male"
"16812","Moreman","Leland C.","MIDDLE WATER","Hartley",1926,"4","7","Leland","male","male"
"16813","Wertz","Chas. L.","MIDDLE WATER","Hartley",1927,"5","18","Chas",NA,"male"
"16814","Clifton","John W.","MIDDLE WATER","Hartley",1928,"5","22","John","male","male"
"16815","Church","R. P.","ROMERO","Hartley",1903,"3","6","R","male","male"
"16816","McCreary","John S.","ROMERO","Hartley",1907,"7","23","John","male","male"
"16817","Vincent","Isaac N.","ROMERO","Hartley",1908,"8","7","Isaac","male","male"
"16818","Tinsley","Beulah","TINSLEY","Hartley",1903,"2","16","Beulah","female","female"
"16819","James","David","AMPLE","Haskell",1890,"12","20","David","male","male"
"16820","Sparkman","Trustom","AMPLE","Haskell",1892,"1","13","Trustom",NA,"male"
"16821","McDaniel","Granville W.","AMPLE","Haskell",1892,"11","12","Granville","male","male"
"16822","Cooper","Lyttleton","AMPLE","Haskell",1893,"1","4","Lyttleton","male","male"
"16823","Phillips","Lizzie","AMPLE","Haskell",1895,"11","8","Lizzie","female","female"
"16824","Wilson","Ollie G.","AMPLE","Haskell",1911,"4","5","Ollie","female","female"
"16825","Johnston","Everett M.","CALIFORNIA RANCH","Haskell",1880,"3","2","Everett","male","male"
"16826","Mason","Arthur B.","CARNEY","Haskell",1903,"9","2","Arthur","male","male"
"16827","Jack","Geo. E.","CARNEY","Haskell",1905,"6","20","Geo","male","male"
"16828","McWhirter","Jas. C.","CARNEY","Haskell",1907,"1","28","Jas",NA,"male"
"16829","Marks","Thos. G.","CLIFF","Haskell",1902,"9","11","Thos",NA,"male"
"16830","Powell","Jas. M.","CLIFF","Haskell",1903,"5","1","Jas",NA,"male"
"16831","Benton","Thos. J.","CLIFF","Haskell",1906,"7","20","Thos",NA,"male"
"16832","Stamps","Arthur D.","CLIFF","Haskell",1907,"4","8","Arthur","male","male"
"16833","Standefer","Rebecca A.","HASKELL","Haskell",1884,"3","31","Rebecca","female","female"
"16834","Winn","David M.","HASKELL","Haskell",0,"0","16 Jun 188__?","David","male","male"
"16835","Evans","Jos. W.","HASKELL","Haskell",1889,"11","25","Jos","male","male"
"16836","Banks","Chas. B.","HASKELL","Haskell",1891,"8","14","Chas",NA,"male"
"16837","Baker","John B.","HASKELL","Haskell",1902,"7","28","John","male","male"
"16838","Kirkpatrick","W. E.","HASKELL","Haskell",1920,"7","1","W","male","male"
"16839","Couch","Riley C.","HASKELL","Haskell",1923,"1","29","Riley","male","male"
"16840","Wilson","John T.","HASKELL","Haskell",1924,"4","1","John","male","male"
"16841","Foote","Henry C.","HASKELL","Haskell",1929,"5","23","Henry","male","male"
"16842","Southern","Mrs. Anna M.","HASKELL","Haskell",1931,"10","2","Anna","female","female"
"16843","Edwards","Jos. B.","IDELLA","Haskell",1892,"5","19","Jos","male","male"
"16844","Allen","Wm. C.","JUD","Haskell",1905,"3","2","Wm",NA,"male"
"16845","McCrary","John R.","JUD","Haskell",1908,"12","16","John","male","male"
"16846","Raymond","Henry L.","JUD","Haskell",1910,"2","4","Henry","male","male"
"16847","Raymond","Willie L.","JUD","Haskell",1913,"1","30","Willie","male","male"
"16848","Raymond","David B.","JUD","Haskell",1914,"3","7","David","male","male"
"16849","Bridges","Albert L.","JUD","Haskell",1917,"4","10","Albert","male","male"
"16850","Karr","Della","JUD","Haskell",1917,"7","13","Della","female","female"
"16851","Davis","Thos. E.","LEAVITT","Haskell",1901,"9","7","Thos",NA,"male"
"16852","Dobbins","Wm. E.","LEAVITT","Haskell",1905,"1","21","Wm",NA,"male"
"16853","Jefferson","Ephraim D.","McCONNELL","Haskell",1907,"10","30","Ephraim","male","male"
"16854","Terrell","Chas. J.","MARCY","Haskell",1901,"4","6","Chas",NA,"male"
"16855","Chapman","Chas. M.","MARCY","Haskell",1901,"11","19","Chas",NA,"male"
"16856","Herron","Franklin P.","MID","Haskell",1902,"3","19","Franklin","male","male"
"16857","Jack","Geo. E.","MID","Haskell",1902,"12","23","Geo","male","male"
"16858","Lusk","Eli M.","NABORS","Haskell",1909,"9","23","Eli","male","male"
"16859","Bouldin","Laura A.","NABORS","Haskell",1910,"6","23","Laura","female","female"
"16860","Wright","Laura A.","NABORS","Haskell",1917,"9","28","Laura","female","female"
"16861","McWhirter","Jas. C.","O'BRIEN","Haskell",1908,"10","19","Jas",NA,"male"
"16862","Austin","Tolly B.","O'BRIEN","Haskell",1909,"10","5","Tolly","male","male"
"16863","Barnard","J. Frank","O'BRIEN","Haskell",1914,"12","9","J","male","male"
"16864","Barnard","Clara C.","O'BRIEN","Haskell",1918,"3","19","Clara","female","female"
"16865","Johnston","Jos. W.","O'BRIEN","Haskell",1921,"6","1","Jos","male","male"
"16866","Jarmon","Clara M.","O'BRIEN","Haskell",1923,"5","24","Clara","female","female"
"16867","Erwin","Abe L.","O'BRIEN","Haskell",1924,"3","3","Abe","male","male"
"16868","Austin","Tolly B.","O'BRIEN","Haskell",1926,"7","12","Tolly","male","male"
