ChangeNum,Name,EstNum,Year
4,Austin,0,1902
4,Austin,0,1913
5,Austin,0,1922
0,Austin,1,1891
1,Austin,0,1921
2,Austin,1,1873
6,Austin,2,1901
3,Austin,0,1909
1,Austin,1,1874
5,Austin,0,1875
2,Austin,0,1899
8,Austin,1,1893
0,Austin,2,1853
2,Austin,0,1854
3,Austin,1,1886
3,Austin,1,1892
1,Austin,1,1896
6,Austin,0,1897
2,Austin,1,1914
1,Austin,0,1915
2,Austin,0,1929
0,Austin,2,1884
2,Austin,0,1887
5,Austin,0,1905
2,Austin,1,1907
0,Austin,1,1856
2,Austin,2,1910
1,Austin,1,1912
1,Austin,1,1855
4,Austin,0,1862
4,Austin,0,1864
1,Austin,2,1857
1,Austin,0,1863
1,Austin,0,1865
2,Austin,2,1867
1,Austin,0,1868
2,Austin,0,1869
3,Austin,1,1888
3,Austin,0,1894
0,Austin,1,1906
1,Austin,1,1860
1,Austin,0,1881
1,Austin,0,1876
4,Austin,0,1879
2,Austin,1,1904
0,Austin,1,1908
2,Austin,0,1924
1,Austin,1,1848
0,Austin,1,1883
2,Austin,0,1885
1,Austin,0,1926
2,Austin,0,1927
2,Austin,0,1882
1,Austin,0,1850
3,Austin,0,1851
3,Austin,0,1852
2,Austin,0,1847
2,Austin,2,1880
1,Austin,0,1900
3,Austin,0,1928
1,Austin,0,1932
3,Austin,1,1871
2,Austin,0,0
3,Austin,1,1878
0,Austin,1,1911
2,Austin,0,1877
1,Bailey,1,1922
21,Bailey,10,-
0,Bailey,2,1925
1,Bailey,0,1928
1,Bailey,0,1930
7,Bailey,0,1929
0,Bailey,1,1931
1,Bailey,1,1926
1,Bailey,1,1907
1,Bailey,1,1913
1,Bailey,0,1915
2,Bailey,0,1919
1,Bailey,0,1921
1,Bailey,0,1923
2,Bailey,1,1927
0,Bailey,1,1910
0,Bailey,1,1914
1,Bailey,0,1920
0,Bandera,1,1858
79,Bandera,23,-
1,Bandera,0,1861
2,Bandera,0,1865
1,Bandera,0,1866
1,Bandera,0,1868
1,Bandera,0,1871
1,Bandera,2,1880
1,Bandera,0,1889
1,Bandera,0,1893
2,Bandera,1,1899
2,Bandera,1,1908
2,Bandera,0,1913
3,Bandera,0,1919
2,Bandera,0,1926
1,Bandera,1,1906
2,Bandera,0,1907
4,Bandera,0,1914
2,Bandera,0,1920
1,Bandera,0,1921
1,Bandera,0,1922
3,Bandera,0,1923
2,Bandera,1,1884
0,Bandera,1,1894
1,Bandera,0,1882
0,Bandera,3,1879
1,Bandera,1,1886
0,Bandera,1,1878
3,Bandera,0,1881
1,Bandera,0,1890
1,Bandera,0,1896
1,Bandera,0,1897
0,Bandera,1,1883
0,Bandera,1,1898
2,Bandera,0,1900
3,Bandera,0,1904
2,Bandera,0,1911
3,Bandera,0,1915
3,Bandera,0,1917
2,Bandera,0,1918
2,Bandera,0,1887
1,Bandera,2,1895
1,Bandera,2,1901
0,Bandera,1,1873
1,Bandera,0,1877
2,Bandera,0,1885
3,Bandera,2,1888
3,Bandera,0,1909
1,Bandera,0,1905
1,Bandera,0,1910
2,Bandera,0,1903
1,Bandera,0,1912
1,Bandera,0,1928
0,Bandera,1,1902
1,Bandera,0,1929
2,Bastrop,1,1851
222,Bastrop,67,-
2,Bastrop,2,1852
3,Bastrop,0,1858
1,Bastrop,0,1862
1,Bastrop,0,1863
4,Bastrop,0,1866
6,Bastrop,0,1868
4,Bastrop,0,1872
3,Bastrop,2,1874
4,Bastrop,1,1881
1,Bastrop,2,1888
6,Bastrop,1,1889
6,Bastrop,1,1893
3,Bastrop,0,1895
4,Bastrop,0,1897
4,Bastrop,2,1884
2,Bastrop,0,1885
0,Bastrop,3,1846
7,Bastrop,0,1861
1,Bastrop,0,1865
4,Bastrop,1,1890
6,Bastrop,3,1900
4,Bastrop,0,1906
5,Bastrop,0,1914
2,Bastrop,1,1923
7,Bastrop,2,1902
5,Bastrop,3,1876
2,Bastrop,2,1901
0,Bastrop,2,1878
4,Bastrop,0,1879
4,Bastrop,2,1880
3,Bastrop,1,1883
6,Bastrop,3,1886
4,Bastrop,1,1887
4,Bastrop,1,1912
4,Bastrop,0,1918
2,Bastrop,0,1921
1,Bastrop,0,1854
1,Bastrop,0,1857
1,Bastrop,1,1859
2,Bastrop,1,1869
6,Bastrop,1,1877
4,Bastrop,1,1892
3,Bastrop,1,1905
3,Bastrop,0,1907
5,Bastrop,3,1891
3,Bastrop,1,1873
1,Bastrop,0,0
7,Bastrop,2,1898
3,Bastrop,1,1908
3,Bastrop,0,1916
6,Bastrop,0,1922
2,Bastrop,0,1925
2,Bastrop,0,1926
3,Bastrop,1,1896
3,Bastrop,0,1882
2,Bastrop,3,1894
2,Bastrop,4,1899
3,Bastrop,0,1909
2,Bastrop,0,1917
2,Bastrop,1,1903
5,Bastrop,0,1904
2,Bastrop,0,1913
1,Bastrop,4,1871
1,Bastrop,0,1930
3,Bastrop,1,1875
2,Bastrop,0,1915
2,Bastrop,1,1870
1,Bastrop,0,1911
1,Bastrop,0,1910
1,Bastrop,0,1924
0,Bastrop,1,1853
0,Bastrop,1,1860
1,Bastrop,0,1919
0,Bastrop,1,1849
1,Bastrop,0,1855
1,Bastrop,0,1867
0,Baylor,2,1892
63,Baylor,20,-
0,Baylor,2,1906
2,Baylor,0,1909
1,Baylor,0,1912
2,Baylor,0,1916
1,Baylor,0,1919
0,Baylor,1,1888
0,Baylor,1,1894
2,Baylor,0,1895
0,Baylor,1,1896
4,Baylor,0,1897
1,Baylor,0,1902
2,Baylor,0,1908
3,Baylor,2,1910
1,Baylor,0,1913
2,Baylor,0,1915
3,Baylor,0,1925
1,Baylor,0,1927
3,Baylor,0,1928
1,Baylor,5,1879
2,Baylor,1,1891
2,Baylor,2,1907
1,Baylor,0,1918
1,Baylor,0,1921
1,Baylor,0,1923
1,Baylor,0,1929
1,Baylor,0,0
1,Baylor,1,1881
1,Baylor,0,1884
2,Baylor,0,1885
2,Baylor,0,1886
2,Baylor,0,1893
1,Baylor,0,1901
2,Baylor,0,1914
1,Baylor,0,1920
2,Baylor,0,1922
1,Baylor,0,1924
1,Baylor,0,1880
1,Baylor,0,1883
1,Baylor,0,1890
2,Baylor,0,1900
1,Baylor,1,1905
0,Baylor,1,1898
1,Baylor,0,1899
1,Baylor,0,1911
1,Baylor,0,1917
1,Baylor,0,1926
2,Bee,0,1871
116,Bee,27,-
0,Bee,1,1859
1,Bee,0,0
1,Bee,0,1861
4,Bee,0,1862
2,Bee,0,1864
2,Bee,0,1866
1,Bee,0,1867
4,Bee,0,1872
1,Bee,0,1874
3,Bee,0,1877
2,Bee,0,1880
1,Bee,1,1883
1,Bee,0,1885
1,Bee,0,1889
3,Bee,0,1890
1,Bee,0,1897
1,Bee,0,1905
5,Bee,0,1914
4,Bee,0,1922
3,Bee,0,1927
1,Bee,1,1888
2,Bee,1,1901
1,Bee,0,1906
4,Bee,0,1930
0,Bee,2,1892
1,Bee,0,1893
2,Bee,1,1894
1,Bee,2,1895
2,Bee,2,1896
2,Bee,0,1899
