Post Office,County1,County2,County3,State,Region,Subregion,Established,Discontinued,Stamp Rarity Factor,Continuous,GNIS_Match,Score,GNIS_ID,GNIS_Feature,GNIS_Type,GNIS_County,GNIS_State,Latitude,Longitude,Coordinates
AFRICA,Liberty,,,TX,Midwest,South Midwest,1880,1883,8,Y,TRUE,100,1377114,Africa,Populated Place,Liberty,TX,30.3904848,-95.0607667,Y
AFTON,Fisher,,,TX,Midwest,South Midwest,1892,1893,5,Y,TRUE,100,1329243,Afton Cemetery,Cemetery,Fisher,TX,32.8942722,-100.2298264,Y
AFTON,Dickens,,,TX,Midwest,South Midwest,1900,,0,Y,TRUE,100,2732052,Afton Post Office,Post Office,Dickens,TX,33.7588973,-100.8165938,Y
AGEE,Hamilton,,,TX,Midwest,South Midwest,1897,1905,5,Y,FALSE,,,,,,,,,N
AGISTHA,Gregg,,,TX,Midwest,South Midwest,1899,1901,6,Y,FALSE,,,,,,,,,N
AGNES,Parker,,,TX,Midwest,South Midwest,1879,1907,5,Y,TRUE,100,1377921,Agnes,Populated Place,Parker,TX,32.9792888,-97.7886421,Y
AGRICOLA,Parker,,,TX,Midwest,South Midwest,1878,1879,9,Y,FALSE,,,,,,,,,N
AGUA DULCE,Nueces,,,TX,Midwest,South Midwest,1908,,0,Y,TRUE,100,2732135,Agua Dulce Post Office,Post Office,Nueces,TX,27.7814124,-97.9108275,Y
AGUA NUEVA,Jim Hogg,,,TX,Midwest,South Midwest,1910,1966,1,Y,TRUE,100,1381013,Agua Nueva,Populated Place,Jim Hogg,TX,26.9017168,-98.6002976,Y
AGUILARES,Webb,,,TX,Midwest,South Midwest,1890,1963,1,Y,TRUE,100,1329274,Aguilares,Populated Place,Webb,TX,27.4486359,-99.0872507,Y
AID,Grimes,,,TX,Midwest,South Midwest,1905,1913,4,Y,FALSE,,,,,,,,,N
AIKEN,Bell,,,TX,Midwest,South Midwest,1868,1872,7,Y,FALSE,,,,,,,,,N
AIKEN,Floyd,,,TX,Midwest,South Midwest,1922,,0,Y,TRUE,100,2732353,Aiken Post Office,Post Office,Floyd,TX,34.1397906,-101.5198198,Y
AIR HALL,Bell,,,TX,Midwest,South Midwest,1860,,0,Y,FALSE,,,,,,,,,N
AIRLINE,Harris,,,TX,Midwest,South Midwest,1905,1911,4,Y,FALSE,,,,,,,,,N
AJAX,Panola,,,TX,Midwest,South Midwest,1900,1907,5,Y,FALSE,,,,,,,,,N
AKEN,Shelby,,,TX,Midwest,South Midwest,1889,1909,4,Y,FALSE,,,,,,,,,N
AKIN,Sabine,,,TX,Midwest,South Midwest,1884,1886,7,Y,FALSE,,,,,,,,,N
ALABAMA,Houston,,,TX,Midwest,South Midwest,1840,1878,7,Y,FALSE,,,,,,,,,N
ALAMEDA,Eastland,,,TX,Midwest,South Midwest,1876,1882,7,Y,TRUE,100,1372253,Alameda Cemetery,Cemetery,Eastland,TX,32.3340228,-98.646445,Y
ALAMEDA,Brooks,,,TX,Midwest,South Midwest,1914,1915,6,Y,FALSE,,,,,,,,,N
ALAMITO,Presidio,,,TX,Midwest,South Midwest,1884,1892,6,Y,FALSE,,,,,,,,,N
ALAMO,Reeves,,,TX,Midwest,South Midwest,1903,1905,6,Y,FALSE,,,,,,,,,N
ALAMO,Hidalgo,,,TX,Midwest,South Midwest,1919,,0,Y,TRUE,100,1984906,Alamo Middle School,School,Hidalgo,TX,26.1845445,-98.1337993,Y
ALAMO BEACH,Calhoun,,,TX,Midwest,South Midwest,1907,1915,4,Y,TRUE,100,2034596,Alamo Beach,Populated Place,Calhoun,TX,28.579998,-96.5863662,Y
ALAMO MILLS,Cass,,,TX,Midwest,South Midwest,1874,1913,4,Y,FALSE,,,,,,,,,N
ALAMOSITAS,Oldham,,,TX,Midwest,South Midwest,1889,1890,7,Y,FALSE,,,,,,,,,N
ALANREED,Gray,,,TX,Midwest,South Midwest,1902,,0,Y,TRUE,100,1350947,Alanreed,Populated Place,Gray,TX,35.2125494,-100.7343059,Y
ALAZAN,Nacogdoches,,,TX,Midwest,South Midwest,1901,1911,4,Y,TRUE,100,1383737,Alazan,Populated Place,Nacogdoches,TX,31.5832348,-94.7860448,Y
ALBA,Wood,,,TX,Midwest,South Midwest,1881,,0,Y,TRUE,100,2732328,Alba Post Office,Post Office,Wood,TX,32.793359,-95.6371025,Y
ALBADE,Caldwell,,,TX,Midwest,South Midwest,1859,1888,6,Y,FALSE,,,,,,,,,N
ALBANY,Shackelford,,,TX,Midwest,South Midwest,1876,,0,Y,TRUE,100,2732326,Albany Post Office,Post Office,Shackelford,TX,32.7273758,-99.2975176,Y
ALBERT,Gillespie,,,TX,Midwest,South Midwest,1892,,0,Y,TRUE,100,1377922,Albert,Populated Place,Gillespie,TX,30.1938154,-98.6016958,Y
ALBION,Red River,,,TX,Midwest,South Midwest,1886,1929,3,Y,TRUE,100,1379328,Albion,Populated Place,Red River,TX,33.8589967,-95.0307803,Y
ALBUQUERQUE,Wilson,,,TX,Midwest,South Midwest,1870,1883,7,Y,FALSE,,,,,,,,,N
ALCEDO,Angelina,,,TX,Midwest,South Midwest,1916,1924,3,Y,FALSE,,,,,,,,,N
ALCINO,Floyd,,,TX,Midwest,South Midwest,1917,1923,3,Y,TRUE,100,1379519,Alcino,Populated Place,Floyd,TX,34.1434068,-101.2043197,Y
ALCOTT,Falls,,,TX,Midwest,South Midwest,1890,1891,7,Y,FALSE,,,,,,,,,N
ALDER BRANCH,Anderson,,,TX,Midwest,South Midwest,1863,,0,Y,TRUE,91.66666667,1379330,Alderbranch,Populated Place,Anderson,TX,31.6887851,-95.4580064,Y
ALDERBRANCH,Anderson,,,TX,Midwest,South Midwest,1876,1913,1,Y,TRUE,100,1379330,Alderbranch,Populated Place,Anderson,TX,31.6887851,-95.4580064,Y
ALDIE,Yoakum,,,TX,Midwest,South Midwest,1906,1907,6,Y,FALSE,,,,,,,,,N
