Post Office,County1,County2,County3,State,Region,Subregion,Established,Discontinued,Stamp Rarity Factor,Continuous,GNIS_Match,Score,GNIS_ID,GNIS_Feature,GNIS_Type,GNIS_County,GNIS_State,Latitude,Longitude,Coordinates
LINDEN,Cass,,,TX,Midwest,South Midwest,1852,,0,Y,TRUE,100,2732211,Linden Post Office,Post Office,Cass,TX,33.0108856,-94.3645136,Y
LINDENAU,Dewitt,,,TX,Midwest,South Midwest,1895,1947,1,Y,FALSE,,,,,,,,,N
LINDSAY,Cooke,,,TX,Midwest,South Midwest,1891,,0,Y,TRUE,100,2731236,Lindsay Post Office,Post Office,Cooke,TX,33.637485,-97.225742,Y
LINDSEY,Henderson,,,TX,Midwest,South Midwest,1881,1883,8,Y,FALSE,,,,,,,,,N
LINE,Hopkins,,,TX,Midwest,South Midwest,1902,1905,6,Y,FALSE,,,,,,,,,N
LINE CREEK,McLennan,,,TX,Midwest,South Midwest,1871,1872,8,Y,TRUE,80,1380048,Lake Creek,Populated Place,McLennan,TX,31.5093357,-96.9505493,Y
LINEVILLE,Panola,,,TX,Midwest,South Midwest,1854,1868,7,Y,FALSE,,,,,,,,,N
LINGLEVILLE,Erath,,,TX,Midwest,South Midwest,1885,,0,Y,TRUE,100,2732193,Lingleville Post Office,Post Office,Erath,TX,32.2442985,-98.373977,Y
LINGO,Stonewall,,,TX,Midwest,South Midwest,1905,1908,6,Y,FALSE,,,,,,,,,N
LINK,Mitchell,,,TX,Midwest,South Midwest,1908,1911,5,Y,FALSE,,,,,,,,,N
LINK,Scurry,,,TX,Midwest,South Midwest,1911,1911,5,Y,FALSE,,,,,,,,,N
LINKSVILLE,Jones,,,TX,Midwest,South Midwest,1889,1895,6,Y,FALSE,,,,,,,,,N
LINN,Hidalgo,,,TX,Midwest,South Midwest,1928,,0,Y,TRUE,100,2732281,Linn Post Office,Post Office,Hidalgo,TX,26.558169,-98.1264346,Y
LINN FLAT,Nacogdoches,,,TX,Midwest,South Midwest,1850,1918,4,Y,TRUE,100,1380089,Linn Flat,Populated Place,Nacogdoches,TX,31.7898967,-94.7318788,Y
LINNIE,Fisher,,,TX,Midwest,South Midwest,1901,1906,6,Y,FALSE,,,,,,,,,N
LINWOOD,Cherokee,,,TX,Midwest,South Midwest,1851,1903,5,Y,TRUE,100,1361248,Linwood,Populated Place,Cherokee,TX,31.6643437,-94.9904935,Y
LIPAN,Hood,,,TX,Midwest,South Midwest,1875,,0,Y,TRUE,100,2731711,Lipan Post Office,Post Office,Hood,TX,32.5183775,-98.0472411,Y
LIPSCOMB,Lipscomb,,,TX,Midwest,South Midwest,1886,,0,Y,TRUE,100,2731690,Lipscomb Post Office,Post Office,Lipscomb,TX,36.2329557,-100.2707991,Y
LISBON,Dallas,,,TX,Midwest,South Midwest,1870,1901,5,Y,TRUE,100,2004306,Lisbon School,School,Dallas,TX,32.6984652,-96.7952781,Y
LISSIE,Wharton,,,TX,Midwest,South Midwest,1894,,0,Y,TRUE,100,2732250,Lissie Post Office,Post Office,Wharton,TX,29.5551714,-96.2254523,Y
LITTIG,Travis,,,TX,Midwest,South Midwest,1889,1954,1,Y,TRUE,100,1340003,Littig,Populated Place,Travis,TX,30.3196533,-97.4494422,Y
LITTLE BRAZOS,Robertson,,,TX,Midwest,South Midwest,1868,1870,8,Y,FALSE,,,,,,,,,N
LITTLE ELM,Denton,,,TX,Midwest,South Midwest,1852,,0,Y,TRUE,100,2731943,Little Elm Post Office,Post Office,Denton,TX,33.1540018,-96.9477934,Y
LITTLE MINERAL,Grayson,,,TX,Midwest,South Midwest,1872,1879,7,Y,FALSE,,,,,,,,,N
LITTLE RIVER,Bell,,,TX,Midwest,South Midwest,1886,,0,Y,TRUE,100,1690856,Little River,Populated Place,Bell,TX,30.9862937,-97.3586138,Y
LITTLEFIELD,Lamb,,,TX,Midwest,South Midwest,1913,,0,Y,TRUE,100,2731614,Littlefield Post Office,Post Office,Lamb,TX,33.918637,-102.335086,Y
LITWALTON,Garza,,,TX,Midwest,South Midwest,1903,1907,6,Y,FALSE,,,,,,,,,N
LIVE OAK,Dewitt,,,TX,Midwest,South Midwest,1849,1868,7,Y,FALSE,,,,,,,,,N
LIVE OAKS,Bastrop,,,TX,Midwest,South Midwest,1878,1891,6,Y,FALSE,,,,,,,,,N
LIVEOAK,Brazoria,,,TX,Midwest,South Midwest,1899,1901,6,Y,FALSE,,,,,,,,,N
LIVERPOOL,Brazoria,,,TX,Midwest,South Midwest,1845,,0,Y,TRUE,100,2731615,Liverpool Post Office,Post Office,Brazoria,TX,29.293967,-95.278604,Y
LIVINGSTON,Polk,,,TX,Midwest,South Midwest,1847,,0,Y,TRUE,100,2732065,Livingston Post Office,Post Office,Polk,TX,30.7104792,-94.9481782,Y
LIVONIA,Newton,,,TX,Midwest,South Midwest,1883,1887,7,Y,FALSE,,,,,,,,,N
LLANO,Llano,,,TX,Midwest,South Midwest,1857,,0,Y,TRUE,100,2731491,Llano Post Office,Post Office,Llano,TX,30.749453,-98.677381,Y
LLANO GRANDE,Hidalgo,,,TX,Midwest,South Midwest,1906,1916,4,Y,TRUE,100,1852731,Llano Grande,Populated Place,Hidalgo,TX,26.1297981,-97.968058,Y
LLOYD,Denton,,,TX,Midwest,South Midwest,1877,1907,5,Y,TRUE,100,1340290,Lloyd Cemetery,Cemetery,Denton,TX,33.20873,-96.97334,Y
LO,Limestone,,,TX,Midwest,South Midwest,1894,1897,7,Y,FALSE,,,,,,,,,N
LOBO,Briscoe,,,TX,Midwest,South Midwest,1903,1905,4,Y,FALSE,,,,,,,,,N
LOBO,Culberson,,,TX,Midwest,South Midwest,1907,1942,2,Y,TRUE,100,1361584,Lobo,Populated Place,Culberson,TX,30.8140279,-104.7529867,Y
LOCHRIDGE,Brazoria,,,TX,Midwest,South Midwest,1913,1934,2,Y,TRUE,100,1380093,Lochridge,Populated Place,Brazoria,TX,29.3530184,-95.5310545,Y
LOCK,Smith,,,TX,Midwest,South Midwest,1892,1894,7,Y,FALSE,,,,,,,,,N
LOCKE HILL,Bexar,,,TX,Midwest,South Midwest,1869,1881,7,Y,TRUE,100,2003153,Locke Hill Elementary School,School,Bexar,TX,29.5688391,-98.5772422,Y
LOCKER,San Saba,,,TX,Midwest,South Midwest,1899,1954,1,Y,TRUE,100,1380094,Locker,Populated Place,San Saba,TX,31.3773867,-98.8969913,Y
LOCKETT,Marion,,,TX,Midwest,South Midwest,1884,1903,5,Y,TRUE,100,1340308,Lockett Cemetery,Cemetery,Marion,TX,32.876247,-94.3804715,Y
LOCKHART,Caldwell,,,TX,Midwest,South Midwest,1848,,0,Y,TRUE,100,2732267,Lockhart Post Office,Post Office,Caldwell,TX,29.8836665,-97.6741435,Y
LOCKLIN,Rusk,,,TX,Midwest,South Midwest,1902,1905,6,Y,FALSE,,,,,,,,,N
LOCKNEY,Floyd,,,TX,Midwest,South Midwest,1890,,0,Y,TRUE,100,2731616,Lockney Post Office,Post Office,Floyd,TX,34.125099,-101.442117,Y
LOCKRANZY,Cherokee,,,TX,Midwest,South Midwest,1847,1851,8,Y,FALSE,,,,,,,,,N
LOCO,Childress,,,TX,Midwest,South Midwest,1892,1964,1,Y,TRUE,100,1380096,Loco,Populated Place,Childress,TX,34.7175581,-100.1526117,Y
LOCUST,Grayson,,,TX,Midwest,South Midwest,1892,1907,5,Y,TRUE,100,1380097,Locust,Populated Place,Grayson,TX,33.797326,-96.7724995,Y
LOCUST GROVE,Navarro,,,TX,Midwest,South Midwest,1860,1867,8,Y,FALSE,,,,,,,,,N
LOCUST GROVE,Rusk,,,TX,Midwest,South Midwest,1873,1875,8,Y,FALSE,,,,,,,,,N
LOCUST SHADE,Dallas,,,TX,Midwest,South Midwest,1855,1858,8,Y,FALSE,,,,,,,,,N
LODGE,Clay,,,TX,Midwest,South Midwest,1880,1880,8,Y,FALSE,,,,,,,,,N
LODGE,Hall,,,TX,Midwest,South Midwest,1905,1909,5,Y,FALSE,,,,,,,,,N
LODI,Wilson,,,TX,Midwest,South Midwest,1858,1872,6,Y,TRUE,100,1361609,Lodi School,School,Wilson,TX,29.1402446,-98.1663973,Y
LODI,Marion,,,TX,Midwest,South Midwest,1876,,0,Y,TRUE,100,2731423,Lodi Post Office,Post Office,Marion,TX,32.876672,-94.279437,Y
LODWICK,Marion,,,TX,Midwest,South Midwest,1875,1917,4,Y,FALSE,,,,,,,,,N
LODWICK,Harrison,,,TX,Midwest,South Midwest,1885,1886,5,Y,FALSE,,,,,,,,,N
LOEB,Hardin,,,TX,Midwest,South Midwest,1903,1908,6,Y,TRUE,100,1340323,Loeb,Populated Place,Hardin,TX,30.1946555,-94.1929612,Y
LOEBAU,Lee,,,TX,Midwest,South Midwest,1898,1916,4,Y,TRUE,100,1378593,Loebau,Populated Place,Lee,TX,30.2877126,-96.9052592,Y
LOGAN,Panola,,,TX,Midwest,South Midwest,1900,1910,4,Y,TRUE,100,1380099,Logan,Populated Place,Panola,TX,32.0784979,-94.0538013,Y
LOGSDON,Andrews,,,TX,Midwest,South Midwest,1908,1915,4,Y,FALSE,,,,,,,,,N
LOGSDON,Gaines,,,TX,Midwest,South Midwest,1915,1919,4,Y,FALSE,,,,,,,,,N
LOGTOWN,Newton,,,TX,Midwest,South Midwest,1909,1913,5,Y,FALSE,,,,,,,,,N
LOGVILLE,San Augustine,,,TX,Midwest,South Midwest,1884,1885,8,Y,FALSE,,,,,,,,,N
LOHN,Mcculloch,,,TX,Midwest,South Midwest,1890,,0,Y,TRUE,100,2731617,Lohn Post Office,Post Office,McCulloch,TX,31.322435,-99.410455,Y
LOIRE,Atascosa,,,TX,Midwest,South Midwest,1895,1912,4,Y,FALSE,,,,,,,,,N
LOIS,Cooke,,,TX,Midwest,South Midwest,1897,1904,5,Y,TRUE,100,1361621,Lois,Populated Place,Cooke,TX,33.4562233,-97.2202929,Y
LOLITA,Jackson,,,TX,Midwest,South Midwest,1910,,0,Y,TRUE,100,2731618,Lolita Post Office,Post Office,Jackson,TX,28.839815,-96.542653,Y
LOMA,Walker,,,TX,Midwest,South Midwest,1901,1905,6,Y,TRUE,100,1380102,Loma,Populated Place,Walker,TX,30.6804736,-95.8093937,Y
LOMA VISTA,Zavala,,,TX,Midwest,South Midwest,1912,1926,3,Y,TRUE,100,1361627,Loma Vista,Locale,Zavala,TX,28.7688656,-99.597826,Y
LOMETA,Lampasas,,,TX,Midwest,South Midwest,1886,,0,Y,TRUE,100,2731813,Lometa Post Office,Post Office,Lampasas,TX,31.218366,-98.3938614,Y
LOMO ALTO,Mcmullen,,,TX,Midwest,South Midwest,1910,1921,3,Y,FALSE,,,,,,,,,N
LONDON,Rusk,,,TX,Midwest,South Midwest,1855,1876,6,Y,TRUE,100,2034643,London,Populated Place,Rusk,TX,32.2309892,-94.9443839,Y
LONDON,Kimble,,,TX,Midwest,South Midwest,1882,,0,Y,TRUE,100,2732175,London Post Office,Post Office,Kimble,TX,30.675418,-99.5766128,Y
LONE CAMP,Palo Pinto,,,TX,Midwest,South Midwest,1907,1920,3,Y,TRUE,100,1340364,Lone Camp,Populated Place,Palo Pinto,TX,32.6792953,-98.2686586,Y
LONE CEDAR,Ellis,,,TX,Midwest,South Midwest,1901,1904,6,Y,TRUE,100,1378599,Lone Cedar,Populated Place,Ellis,TX,32.1487615,-96.7513817,Y
LONE GROVE,Llano,,,TX,Midwest,South Midwest,1876,1984,1,Y,TRUE,100,1380104,Lone Grove,Populated Place,Llano,TX,30.8126777,-98.5755908,Y
LONE OAK,Montgomery,,,TX,Midwest,South Midwest,1843,1847,8,Y,FALSE,,,,,,,,,N
LONE OAK,Hunt,,,TX,Midwest,South Midwest,1869,,0,Y,TRUE,100,2731389,Lone Oak Post Office,Post Office,Hunt,TX,32.999132,-95.941953,Y
LONE STAR,Franklin,,,TX,Midwest,South Midwest,1850,1875,5,Y,FALSE,,,,,,,,,N
LONE STAR,Cherokee,,,TX,Midwest,South Midwest,1883,1916,4,Y,TRUE,100,1378602,Lone Star,Populated Place,Cherokee,TX,31.9535014,-95.037997,Y
LONE STAR,Morris,,,TX,Midwest,South Midwest,1948,,0,Y,TRUE,100,2731309,Lone Star Post Office,Post Office,Morris,TX,32.945336,-94.710407,Y
LONE TREE,Collin,,,TX,Midwest,South Midwest,1859,1875,7,Y,FALSE,,,,,,,,,N
LONG BOTTOM,Freestone,,,TX,Midwest,South Midwest,1871,1874,8,Y,TRUE,100,1340415,Long Bottom Cemetery,Cemetery,Freestone,TX,31.7807199,-96.4730373,Y
LONG BRANCH,Panola,,,TX,Midwest,South Midwest,1858,,0,Y,TRUE,100,2731419,Long Branch Post Office,Post Office,Panola,TX,32.074298,-94.568575,Y
LONG LEAF,San Augustine,,,TX,Midwest,South Midwest,1886,1897,6,Y,FALSE,,,,,,,,,N
LONG MOTT,Calhoun,,,TX,Midwest,South Midwest,1887,,0,Y,TRUE,100,1340496,Long Mott,Populated Place,Calhoun,TX,28.4825007,-96.7605384,Y
LONG POINT,Washington,,,TX,Midwest,South Midwest,1851,1907,5,Y,TRUE,100,1378608,Long Point,Populated Place,Washington,TX,30.2366025,-96.5280253,Y
LONG PRAIRIE,Fayette,,,TX,Midwest,South Midwest,1860,1876,7,Y,FALSE,,,,,,,,,N
LONGFELLOW,Pecos,,,TX,Midwest,South Midwest,1890,1932,2,Y,TRUE,100,1378607,Longfellow,Populated Place,Pecos,TX,30.1618502,-102.6384838,Y
LONGORIO,Jones,,,TX,Midwest,South Midwest,1891,1895,7,Y,FALSE,,,,,,,,,N
LONGSTREET,Houston,,,TX,Midwest,South Midwest,1863,,6,Y,FALSE,,,,,,,,,N
LONGSTREET,Montgomery,,,TX,Midwest,South Midwest,1872,1908,5,Y,TRUE,100,1382198,Longstreet,Locale,Montgomery,TX,30.5451999,-95.8107828,Y
LONGVIEW,Gregg,,,TX,Midwest,South Midwest,1871,,0,Y,TRUE,100,2732319,Longview Post Office,Post Office,Gregg,TX,32.4623144,-94.7305011,Y
LONGWOOD,Sabine,,,TX,Midwest,South Midwest,1847,1852,8,Y,FALSE,,,,,,,,,N
LONGWORTH,Fisher,,,TX,Midwest,South Midwest,1907,1974,1,Y,TRUE,100,1374718,Longworth,Populated Place,Fisher,TX,32.6503906,-100.345661,Y
LONIE,Childress,,,TX,Midwest,South Midwest,1909,1913,5,Y,FALSE,,,,,,,,,N
LOOK OUT,Upshur,,,TX,Midwest,South Midwest,1847,1848,9,Y,FALSE,,,,,,,,,N
LOOKOUT,Leon,,,TX,Midwest,South Midwest,1855,1866,6,Y,FALSE,,,,,,,,,N
LOOKOUT,Bexar,,,TX,Midwest,South Midwest,1893,1902,5,Y,FALSE,,,,,,,,,N
LOONEYVILLE,Nacogdoches,,,TX,Midwest,South Midwest,1874,1905,5,Y,TRUE,100,1378609,Looneyville,Populated Place,Nacogdoches,TX,31.763231,-94.8443811,Y
LOOP,Clay,,,TX,Midwest,South Midwest,1886,1896,4,Y,FALSE,,,,,,,,,N
LOOP,Gaines,,,TX,Midwest,South Midwest,1905,,0,Y,TRUE,100,2731510,Loop Post Office,Post Office,Gaines,TX,32.915377,-102.416863,Y
LOPENA,Zapata,,,TX,Midwest,South Midwest,1908,1910,2,Y,TRUE,83.33333333,2731293,Lopeno Post Office,Post Office,Zapata,TX,26.711398,-99.110827,Y
LOPENO,Zapata,,,TX,Midwest,South Midwest,1910,,0,Y,TRUE,100,2731293,Lopeno Post Office,Post Office,Zapata,TX,26.711398,-99.110827,Y
LORAINE,Mitchell,,,TX,Midwest,South Midwest,1890,,0,Y,TRUE,100,2731825,Loraine Post Office,Post Office,Mitchell,TX,32.410276,-100.7122577,Y
LORD,Harris,,,TX,Midwest,South Midwest,1883,1886,7,Y,FALSE,,,,,,,,,N
LORENA,McLennan,,,TX,Midwest,South Midwest,1882,,0,Y,TRUE,100,2731830,Lorena Post Office,Post Office,McLennan,TX,31.3973527,-97.2232218,Y
LORENZ,Wilson,,,TX,Midwest,South Midwest,1893,1899,6,Y,FALSE,,,,,,,,,N
LORENZ,Wilson,,,TX,Midwest,South Midwest,1906,1906,6,Y,FALSE,,,,,,,,,N
LORENZO,Crosby,,,TX,Midwest,South Midwest,1911,,0,Y,TRUE,100,2732305,Lorenzo Post Office,Post Office,Crosby,TX,33.6675478,-101.5297913,Y
LORING,Cooke,,,TX,Midwest,South Midwest,1889,1891,7,Y,FALSE,,,,,,,,,N
LOS ANGELES,La Salle,,,TX,Midwest,South Midwest,1923,1980,1,Y,TRUE,100,1340563,Los Angeles,Populated Place,La Salle,TX,28.4658239,-99.0000278,Y
LOS EBANOS,Hidalgo,,,TX,Midwest,South Midwest,1910,,0,Y,TRUE,100,2732187,Los Ebanos Post Office,Post Office,Hidalgo,TX,26.2456262,-98.5610482,Y
LOS FRESNOS,Cameron,,,TX,Midwest,South Midwest,1919,,0,Y,TRUE,100,2731280,Los Fresnos Post Office,Post Office,Cameron,TX,26.071686,-97.480039,Y
LOS INDIOS,Cameron,,,TX,Midwest,South Midwest,1913,,0,Y,TRUE,100,2731487,Los Indios Post Office,Post Office,Cameron,TX,26.05063,-97.734911,Y
LOS OLMOS,Brooks,,,TX,Midwest,South Midwest,1880,1882,8,Y,FALSE,,,,,,,,,N
LOS SAENZ,Starr,,,TX,Midwest,South Midwest,1929,1957,1,Y,TRUE,100,2413647,Los Saenz,Populated Place,Starr,TX,26.400841,-98.996041,Y
LOSOYA,Bexar,,,TX,Midwest,South Midwest,1879,1910,4,Y,TRUE,100,1361807,Losoya,Populated Place,Bexar,TX,29.2335733,-98.456404,Y
LOSTPRONG,Wharton,,,TX,Midwest,South Midwest,1896,1900,6,Y,FALSE,,,,,,,,,N
LOTT,Washington,,,TX,Midwest,South Midwest,1884,1890,3,Y,FALSE,,,,,,,,,N
LOTT,Falls,,,TX,Midwest,South Midwest,1890,,0,Y,TRUE,100,2732263,Lott Post Office,Post Office,Falls,TX,31.2057969,-97.0344525,Y
LOTTA,Kaufman,,,TX,Midwest,South Midwest,1877,1878,8,Y,FALSE,,,,,,,,,N
LOTTA,Parker,,,TX,Midwest,South Midwest,1879,1881,8,Y,FALSE,,,,,,,,,N
LOTTA,Harrison,,,TX,Midwest,South Midwest,1915,1915,6,Y,TRUE,100,1378612,Lotta,Populated Place,Harrison,TX,32.578205,-94.1040755,Y
LOU,Dawson,,,TX,Midwest,South Midwest,1907,1934,2,Y,FALSE,,,,,,,,,N
LOUETTA,Harris,,,TX,Midwest,South Midwest,1907,1935,2,Y,TRUE,100,1378613,Louetta,Populated Place,Harris,TX,30.00661,-95.5610531,Y
LOUISE,Wharton,,,TX,Midwest,South Midwest,1888,,0,Y,TRUE,100,2434459,Louise Elementary School,School,Wharton,TX,29.1115416,-96.4079256,Y
LOULYNN,Lynn,,,TX,Midwest,South Midwest,1925,1928,4,Y,FALSE,,,,,,,,,N
LOURWOOD,Lipscomb,,,TX,Midwest,South Midwest,1918,1919,6,Y,FALSE,,,,,,,,,N
LOVE,Goliad,,,TX,Midwest,South Midwest,1893,1897,7,Y,FALSE,,,,,,,,,N
LOVELACE,Hill,,,TX,Midwest,South Midwest,1893,1908,5,Y,TRUE,100,1340664,Lovelace,Populated Place,Hill,TX,32.0890416,-97.1286174,Y
LOVELADY,Houston,,,TX,Midwest,South Midwest,1872,,0,Y,TRUE,100,2731250,Lovelady Post Office,Post Office,Houston,TX,31.125197,-95.444976,Y
LOVING,Young,,,TX,Midwest,South Midwest,1905,,0,Y,TRUE,100,2731385,Loving Post Office,Post Office,Young,TX,33.265929,-98.509706,Y
LOWAKE,Concho,,,TX,Midwest,South Midwest,1909,1976,1,Y,TRUE,100,2732331,Lowake Post Office,Post Office,Concho,TX,31.5665295,-100.079112,Y
LOWE,Upshur,,,TX,Midwest,South Midwest,1890,1891,7,Y,FALSE,,,,,,,,,N
LOWELL,Erath,,,TX,Midwest,South Midwest,1893,1907,4,Y,TRUE,100,1374754,Lowell Cemetery,Cemetery,Erath,TX,32.2543038,-98.4728275,Y
LOWESVILLE,Guadalupe,,,TX,Midwest,South Midwest,1877,1879,8,Y,FALSE,,,,,,,,,N
LOWRY,Panola,,,TX,Midwest,South Midwest,1883,1887,6,Y,FALSE,,,,,,,,,N
LOWRY,Panola,,,TX,Midwest,South Midwest,1887,1902,5,Y,FALSE,,,,,,,,,N
LOYAL VALLEY,Mason,,,TX,Midwest,South Midwest,1868,1919,4,Y,TRUE,100,1380113,Loyal Valley,Populated Place,Mason,TX,30.5757414,-99.0078271,Y
LOYOLA,Martin,,,TX,Midwest,South Midwest,1910,1917,4,Y,FALSE,,,,,,,,,N
LOZANO,Cameron,,,TX,Midwest,South Midwest,1948,,0,Y,TRUE,100,2732349,Lozano Post Office,Post Office,Cameron,TX,26.1860681,-97.5405568,Y
LOZIER,Terrell,,,TX,Midwest,South Midwest,1890,1899,6,Y,TRUE,100,1378617,Lozier,Populated Place,Terrell,TX,29.9351964,-101.8204006,Y
LUBBOCK,Lubbock,,,TX,Midwest,South Midwest,1884,,0,Y,TRUE,100,2031846,Lubbock High School,School,Lubbock,TX,33.5781409,-101.8601666,Y
LUCAS,Collin,,,TX,Midwest,South Midwest,1888,1903,5,Y,TRUE,100,1378618,Lucas,Populated Place,Collin,TX,33.0842854,-96.5766577,Y
LUCAS SPRING,Bexar,,,TX,Midwest,South Midwest,1877,1879,8,Y,FALSE,,,,,,,,,N
LUCERN,Hansford,,,TX,Midwest,South Midwest,1909,1914,5,Y,FALSE,,,,,,,,,N
LUCILE,Lampasas,,,TX,Midwest,South Midwest,1902,1902,7,Y,FALSE,,,,,,,,,N
LUCKENBACH,Gillespie,,,TX,Midwest,South Midwest,1886,1971,1,Y,TRUE,100,1378619,Luckenbach,Populated Place,Gillespie,TX,30.1790941,-98.7578121,Y
LUCKNOW,Nacogdoches,,,TX,Midwest,South Midwest,1858,1859,8,Y,FALSE,,,,,,,,,N
LUCKY,Montague,,,TX,Midwest,South Midwest,1902,1905,6,Y,FALSE,,,,,,,,,N
LUEDERS,Jones,,,TX,Midwest,South Midwest,1900,,0,Y,TRUE,100,2732040,Lueders Post Office,Post Office,Jones,TX,32.8015045,-99.6245119,Y
LUELLA,Grayson,,,TX,Midwest,South Midwest,1888,1924,3,Y,TRUE,100,1380115,Luella,Populated Place,Grayson,TX,33.5695517,-96.5510998,Y
LUFKIN,Angelina,,,TX,Midwest,South Midwest,1882,,0,Y,TRUE,100,2731216,Lufkin Post Office,Post Office,Angelina,TX,31.336802,-94.722905,Y
LUKE,Atascosa,,,TX,Midwest,South Midwest,1908,1909,6,Y,FALSE,,,,,,,,,N
LULA,Real,,,TX,Midwest,South Midwest,1902,1914,4,Y,FALSE,,,,,,,,,N
LULING,Caldwell,,,TX,Midwest,South Midwest,1874,,0,Y,TRUE,100,2731165,Luling Post Office,Post Office,Caldwell,TX,29.679916,-97.649274,Y
LUMA VISTA,Zavala,,,TX,Midwest,South Midwest,1879,1881,5,Y,TRUE,90,1361627,Loma Vista,Locale,Zavala,TX,28.7688656,-99.597826,Y
LUMA VISTA,Zavala,,,TX,Midwest,South Midwest,1884,1912,4,Y,TRUE,90,1361627,Loma Vista,Locale,Zavala,TX,28.7688656,-99.597826,Y
LUMBER,Marion,,,TX,Midwest,South Midwest,1890,1904,5,Y,FALSE,,,,,,,,,N
LUMBERTON,Hardin,,,TX,Midwest,South Midwest,1909,1914,5,Y,TRUE,100,2005356,Lumberton Middle School,School,Hardin,TX,30.2549354,-94.1970596,Y
LUMPKIN,Smith,,,TX,Midwest,South Midwest,1904,1906,6,Y,FALSE,,,,,,,,,N
LUNA,Freestone,,,TX,Midwest,South Midwest,1880,1907,5,Y,TRUE,100,1380879,Luna,Populated Place,Freestone,TX,31.5523946,-96.2174701,Y
LUNARVILLE,Jack,,,TX,Midwest,South Midwest,1880,1883,8,Y,FALSE,,,,,,,,,N
LUND,Travis,,,TX,Midwest,South Midwest,1895,1906,5,Y,TRUE,100,1361976,Lund,Populated Place,Travis,TX,30.406595,-97.396386,Y
LUNDY,Houston,,,TX,Midwest,South Midwest,1897,1914,4,Y,TRUE,100,1385459,Lundy Post Office (historical),Post Office,Houston,TX,31.3321263,-95.1152149,Y
LUNETTE,Eastland,,,TX,Midwest,South Midwest,1890,1891,7,Y,FALSE,,,,,,,,,N
LUSK,McLennan,,,TX,Midwest,South Midwest,1891,1892,6,Y,FALSE,,,,,,,,,N
LUSK,Throckmorton,,,TX,Midwest,South Midwest,1900,1953,1,Y,TRUE,100,1380880,Lusk,Populated Place,Throckmorton,TX,32.9709458,-99.0320161,Y
LUTES,Henderson,,,TX,Midwest,South Midwest,1891,1891,8,Y,FALSE,,,,,,,,,N
LUTHER,Briscoe,,,TX,Midwest,South Midwest,1891,1892,5,Y,FALSE,,,,,,,,,N
LUTHER,Limestone,,,TX,Midwest,South Midwest,1897,1906,4,Y,FALSE,,,,,,,,,N
LUTHER,Howard,,,TX,Midwest,South Midwest,1909,1972,1,Y,TRUE,100,1378622,Luther,Populated Place,Howard,TX,32.4437257,-101.4567943,Y
LUTIE,Collingsworth,,,TX,Midwest,South Midwest,1909,1913,5,Y,TRUE,100,1361984,Lutie,Populated Place,Collingsworth,TX,35.0231075,-100.222616,Y
LUVIAL,Colorado,,,TX,Midwest,South Midwest,1916,1916,6,Y,FALSE,,,,,,,,,N
LUXELLO,Bexar,,,TX,Midwest,South Midwest,1915,1935,2,Y,TRUE,100,1340745,Luxello,Populated Place,Bexar,TX,29.6016164,-98.3141798,Y
LUZON,Kent,,,TX,Midwest,South Midwest,1899,1930,2,Y,FALSE,,,,,,,,,N
LYDIA,Red River,,,TX,Midwest,South Midwest,1885,1906,5,Y,TRUE,100,1361988,Lydia,Populated Place,Red River,TX,33.4462249,-94.7546557,Y
LYFORD,Willacy,,,TX,Midwest,South Midwest,1907,,0,Y,TRUE,100,2731352,Lyford Post Office,Post Office,Willacy,TX,26.408913,-97.79188,Y
LYLE,Rusk,,,TX,Midwest,South Midwest,1903,1904,6,Y,FALSE,,,,,,,,,N
LYLES,Reevgio,,,TX,Midwest,South Midwest,1891,1894,7,Y,FALSE,,,,,,,,,N
LYMAN,Motley,,,TX,Midwest,South Midwest,1882,1917,4,Y,FALSE,,,,,,,,,N
LYNCH,Hopkins,,,TX,Midwest,South Midwest,1901,1902,6,Y,FALSE,,,,,,,,,N
LYNCH'S CREEK,Lampasas,,,TX,Midwest,South Midwest,1874,1883,7,Y,TRUE,91.66666667,1361998,Lynch Creek,Stream,Lampasas,TX,31.113781,-98.4103126,Y
LYNCHBURG,Harris,,,TX,Midwest,South Midwest,1852,1927,3,Y,TRUE,100,1340754,Lynchburg,Populated Place,Harris,TX,29.7871704,-95.0554851,Y
LYNDALE,Smith,,,TX,Midwest,South Midwest,1873,1874,8,Y,TRUE,85.71428571,2731150,Lindale Post Office,Post Office,Smith,TX,32.510656,-95.410201,Y
LYNN,King,,,TX,Midwest,South Midwest,1890,1892,5,Y,FALSE,,,,,,,,,N
LYNN,Lynn,,,TX,Midwest,South Midwest,1901,1910,4,Y,FALSE,,,,,,,,,N
LYNNELL,Sterling,,,TX,Midwest,South Midwest,1890,1899,6,Y,FALSE,,,,,,,,,N
LYNOX,Bowie,,,TX,Midwest,South Midwest,1905,1909,5,Y,FALSE,,,,,,,,,N
LYONS,Fayette,,,TX,Midwest,South Midwest,1840,1874,4,Y,TRUE,100,1340764,Lyons Cemetery,Cemetery,Fayette,TX,29.6416239,-96.8874805,Y
LYONS,Burleson,,,TX,Midwest,South Midwest,1886,,0,Y,TRUE,100,2732099,Lyons Post Office,Post Office,Burleson,TX,30.3848454,-96.562847,Y
